feature,target_window,corr,pvalue,n_trials
stimulus_d,final_abs_q,0.9425,0.0,256
stimulus_d,resp_abs_q,0.9425,0.0,256
stimulus_m,final_abs_q,0.9809,0.0,256
stimulus_m,resp_abs_q,0.9809,0.0,256
delay_d,final_abs_q,0.9972,0.0,256
delay_d,resp_abs_q,0.9972,0.0,256
delay_m,final_abs_q,0.9985,0.0,256
delay_m,resp_abs_q,0.9985,0.0,256
response_d,final_abs_q,0.9939,0.0,256
response_d,resp_abs_q,0.9939,0.0,256
response_m,final_abs_q,0.7832,0.0,256
response_m,resp_abs_q,0.7832,0.0,256
