trial_id,target,choice,correct,coherence,difficulty,final_q,batch_id,seed,condition
115,1.0,1.0,1,0.2,0.2,0.51969594,0,12,delayed_gated
116,-1.0,-1.0,1,-0.8,0.8,-1.6910108,0,12,delayed_gated
117,1.0,1.0,1,0.8,0.8,1.6249722,0,12,delayed_gated
118,-1.0,-1.0,1,-0.8,0.8,-1.5582619,0,12,delayed_gated
119,1.0,1.0,1,0.6,0.6,1.2539095,0,12,delayed_gated
120,1.0,1.0,1,0.4,0.4,0.81681955,0,12,delayed_gated
121,-1.0,-1.0,1,-0.6,0.6,-1.3025672,0,12,delayed_gated
122,1.0,1.0,1,0.8,0.8,1.6883531,0,12,delayed_gated
123,-1.0,-1.0,1,-0.6,0.6,-1.3998356,0,12,delayed_gated
124,1.0,1.0,1,0.2,0.2,0.23311582,0,12,delayed_gated
125,-1.0,-1.0,1,-0.8,0.8,-1.7526172,0,12,delayed_gated
126,-1.0,-1.0,1,-0.6,0.6,-1.40282,0,12,delayed_gated
127,1.0,1.0,1,0.6,0.6,1.0342176,0,12,delayed_gated
128,1.0,1.0,1,0.6,0.6,1.264486,0,12,delayed_gated
129,1.0,1.0,1,0.6,0.6,1.1889642,0,12,delayed_gated
130,1.0,1.0,1,0.4,0.4,0.9275558,0,12,delayed_gated
131,-1.0,-1.0,1,-0.2,0.2,-0.4845382,0,12,delayed_gated
132,1.0,1.0,1,0.4,0.4,1.0157412,0,12,delayed_gated
133,-1.0,-1.0,1,-0.2,0.2,-0.6013073,0,12,delayed_gated
134,-1.0,-1.0,1,-0.8,0.8,-1.5781845,0,12,delayed_gated
135,-1.0,-1.0,1,-0.4,0.4,-1.0296904,0,12,delayed_gated
136,1.0,1.0,1,0.8,0.8,1.7188118,0,12,delayed_gated
137,-1.0,-1.0,1,-0.4,0.4,-1.0318798,0,12,delayed_gated
138,-1.0,-1.0,1,-0.2,0.2,-0.3687182,0,12,delayed_gated
139,-1.0,-1.0,1,-0.2,0.2,-0.7752659,0,12,delayed_gated
140,-1.0,-1.0,1,-0.6,0.6,-1.3347985,0,12,delayed_gated
141,1.0,1.0,1,0.4,0.4,0.85198957,0,12,delayed_gated
142,1.0,1.0,1,0.8,0.8,1.6259178,0,12,delayed_gated
143,-1.0,-1.0,1,-0.6,0.6,-1.2638897,0,12,delayed_gated
144,-1.0,-1.0,1,-0.8,0.8,-1.5868361,0,12,delayed_gated
145,-1.0,-1.0,1,-0.6,0.6,-1.4280747,0,12,delayed_gated
146,-1.0,-1.0,1,-0.6,0.6,-1.3693627,0,12,delayed_gated
147,-1.0,-1.0,1,-0.4,0.4,-1.0996952,0,12,delayed_gated
148,1.0,1.0,1,0.2,0.2,0.5220541,0,12,delayed_gated
149,1.0,1.0,1,0.4,0.4,1.0463736,0,12,delayed_gated
150,-1.0,-1.0,1,-0.4,0.4,-0.86013514,0,12,delayed_gated
151,-1.0,-1.0,1,-0.2,0.2,-0.3498228,0,12,delayed_gated
152,-1.0,-1.0,1,-0.8,0.8,-1.6227684,0,12,delayed_gated
153,-1.0,-1.0,1,-0.8,0.8,-1.5288969,0,12,delayed_gated
154,-1.0,-1.0,1,-0.8,0.8,-1.7078269,0,12,delayed_gated
155,-1.0,-1.0,1,-0.4,0.4,-0.86374545,0,12,delayed_gated
156,-1.0,-1.0,1,-0.6,0.6,-1.267297,0,12,delayed_gated
157,1.0,1.0,1,0.2,0.2,0.49287048,0,12,delayed_gated
158,-1.0,-1.0,1,-0.2,0.2,-0.5538399,0,12,delayed_gated
159,1.0,1.0,1,0.2,0.2,0.43133354,0,12,delayed_gated
160,1.0,1.0,1,0.8,0.8,1.6799825,0,12,delayed_gated
161,-1.0,-1.0,1,-0.6,0.6,-1.3931478,0,12,delayed_gated
162,-1.0,-1.0,1,-0.8,0.8,-1.6610525,0,12,delayed_gated
163,1.0,1.0,1,0.8,0.8,1.5345985,0,12,delayed_gated
164,1.0,1.0,1,0.2,0.2,0.28333178,0,12,delayed_gated
165,1.0,1.0,1,0.8,0.8,1.5942816,0,12,delayed_gated
166,1.0,1.0,1,0.8,0.8,1.625242,0,12,delayed_gated
167,-1.0,-1.0,1,-0.4,0.4,-0.9187622,0,12,delayed_gated
168,-1.0,-1.0,1,-0.2,0.2,-0.47854444,0,12,delayed_gated
169,1.0,1.0,1,0.6,0.6,1.1866226,0,12,delayed_gated
170,1.0,1.0,1,0.6,0.6,1.4665055,0,12,delayed_gated
171,1.0,1.0,1,0.4,0.4,0.8544986,0,12,delayed_gated
172,1.0,1.0,1,0.4,0.4,0.9742158,0,12,delayed_gated
173,-1.0,-1.0,1,-0.8,0.8,-1.7780182,0,12,delayed_gated
174,1.0,1.0,1,0.4,0.4,0.97092575,0,12,delayed_gated
175,-1.0,-1.0,1,-0.8,0.8,-1.7099975,0,12,delayed_gated
176,1.0,1.0,1,0.6,0.6,1.1649872,0,12,delayed_gated
177,-1.0,-1.0,1,-0.8,0.8,-1.6919835,0,12,delayed_gated
178,-1.0,-1.0,1,-0.6,0.6,-1.2562474,0,12,delayed_gated
179,1.0,1.0,1,0.6,0.6,1.2616063,0,12,delayed_gated
180,-1.0,-1.0,1,-0.6,0.6,-1.3281204,0,12,delayed_gated
181,-1.0,-1.0,1,-0.6,0.6,-1.3878059,0,12,delayed_gated
182,1.0,1.0,1,0.4,0.4,0.84418267,0,12,delayed_gated
183,1.0,1.0,1,0.8,0.8,1.6721804,0,12,delayed_gated
184,1.0,1.0,1,0.4,0.4,1.0245805,0,12,delayed_gated
185,1.0,1.0,1,0.2,0.2,0.38801393,0,12,delayed_gated
186,1.0,1.0,1,0.8,0.8,1.6384597,0,12,delayed_gated
187,-1.0,-1.0,1,-0.4,0.4,-0.99880916,0,12,delayed_gated
188,1.0,1.0,1,0.2,0.2,0.25511584,0,12,delayed_gated
189,-1.0,-1.0,1,-0.6,0.6,-1.1891427,0,12,delayed_gated
190,-1.0,-1.0,1,-0.6,0.6,-1.3909727,0,12,delayed_gated
191,1.0,1.0,1,0.6,0.6,1.3729066,0,12,delayed_gated
192,-1.0,-1.0,1,-0.8,0.8,-1.6865237,0,12,delayed_gated
193,1.0,1.0,1,0.6,0.6,1.3489286,0,12,delayed_gated
194,1.0,1.0,1,0.4,0.4,0.85218024,0,12,delayed_gated
195,1.0,1.0,1,0.4,0.4,0.9192248,0,12,delayed_gated
196,1.0,1.0,1,0.2,0.2,0.39620382,0,12,delayed_gated
197,1.0,1.0,1,0.4,0.4,0.9928424,0,12,delayed_gated
198,-1.0,-1.0,1,-0.8,0.8,-1.6623515,0,12,delayed_gated
199,-1.0,-1.0,1,-0.6,0.6,-1.4946129,0,12,delayed_gated
200,-1.0,-1.0,1,-0.8,0.8,-1.708641,0,12,delayed_gated
201,-1.0,-1.0,1,-0.6,0.6,-1.4443412,0,12,delayed_gated
202,-1.0,-1.0,1,-0.6,0.6,-1.2219403,0,12,delayed_gated
203,1.0,1.0,1,0.6,0.6,1.156886,0,12,delayed_gated
204,1.0,1.0,1,0.4,0.4,0.92602676,0,12,delayed_gated
205,1.0,1.0,1,0.4,0.4,0.97029287,0,12,delayed_gated
206,-1.0,-1.0,1,-0.6,0.6,-1.1848767,0,12,delayed_gated
207,1.0,1.0,1,0.8,0.8,1.801987,0,12,delayed_gated
208,1.0,1.0,1,0.4,0.4,0.9763308,0,12,delayed_gated
209,-1.0,-1.0,1,-0.4,0.4,-0.8601812,0,12,delayed_gated
210,1.0,1.0,1,0.4,0.4,0.86060995,0,12,delayed_gated
211,-1.0,-1.0,1,-0.4,0.4,-0.8708818,0,12,delayed_gated
212,-1.0,-1.0,1,-0.2,0.2,-0.61981297,0,12,delayed_gated
213,-1.0,-1.0,1,-0.2,0.2,-0.5260106,0,12,delayed_gated
214,1.0,1.0,1,0.6,0.6,1.4778512,0,12,delayed_gated
215,1.0,1.0,1,0.2,0.2,0.5208542,0,12,delayed_gated
216,1.0,1.0,1,0.2,0.2,0.27407607,0,12,delayed_gated
217,1.0,1.0,1,0.6,0.6,1.3964142,0,12,delayed_gated
218,1.0,1.0,1,0.4,0.4,0.62788284,0,12,delayed_gated
219,1.0,1.0,1,0.6,0.6,1.3137972,0,12,delayed_gated
220,-1.0,-1.0,1,-0.8,0.8,-1.7353805,0,12,delayed_gated
221,1.0,1.0,1,0.4,0.4,0.90338165,0,12,delayed_gated
222,-1.0,-1.0,1,-0.4,0.4,-1.0795887,0,12,delayed_gated
223,1.0,1.0,1,0.4,0.4,1.0051647,0,12,delayed_gated
224,1.0,1.0,1,0.2,0.2,0.56275356,0,12,delayed_gated
225,-1.0,-1.0,1,-0.8,0.8,-1.7421768,0,12,delayed_gated
226,1.0,1.0,1,0.6,0.6,1.317669,0,12,delayed_gated
227,-1.0,-1.0,1,-0.4,0.4,-1.0815041,0,12,delayed_gated
228,-1.0,-1.0,1,-0.6,0.6,-1.2981656,0,12,delayed_gated
229,1.0,1.0,1,0.8,0.8,1.6391996,0,12,delayed_gated
230,-1.0,-1.0,1,-0.4,0.4,-0.9626184,0,12,delayed_gated
231,-1.0,-1.0,1,-0.8,0.8,-1.6771553,0,12,delayed_gated
232,-1.0,-1.0,1,-0.8,0.8,-1.7203729,0,12,delayed_gated
233,1.0,1.0,1,0.6,0.6,1.2157534,0,12,delayed_gated
234,-1.0,-1.0,1,-0.2,0.2,-0.6124186,0,12,delayed_gated
235,-1.0,-1.0,1,-0.4,0.4,-1.1373127,0,12,delayed_gated
236,1.0,1.0,1,0.6,0.6,1.2305462,0,12,delayed_gated
237,1.0,1.0,1,0.8,0.8,1.675587,0,12,delayed_gated
238,1.0,1.0,1,0.8,0.8,1.6708469,0,12,delayed_gated
239,1.0,1.0,1,0.4,0.4,0.97042555,0,12,delayed_gated
240,-1.0,-1.0,1,-0.8,0.8,-1.600733,0,12,delayed_gated
241,1.0,1.0,1,0.6,0.6,1.2509097,0,12,delayed_gated
242,-1.0,-1.0,1,-0.6,0.6,-1.18237,0,12,delayed_gated
243,-1.0,-1.0,1,-0.4,0.4,-0.8591777,0,12,delayed_gated
244,1.0,1.0,1,0.2,0.2,0.43342945,0,12,delayed_gated
245,-1.0,-1.0,1,-0.2,0.2,-0.48415038,0,12,delayed_gated
246,1.0,1.0,1,0.4,0.4,0.85005707,0,12,delayed_gated
247,-1.0,-1.0,1,-0.8,0.8,-1.7572242,0,12,delayed_gated
248,-1.0,-1.0,1,-0.6,0.6,-1.2776979,0,12,delayed_gated
249,1.0,1.0,1,0.2,0.2,0.51858443,0,12,delayed_gated
250,-1.0,-1.0,1,-0.2,0.2,-0.55404025,0,12,delayed_gated
251,-1.0,-1.0,1,-0.2,0.2,-0.5545833,0,12,delayed_gated
252,1.0,1.0,1,0.4,0.4,1.0646411,0,12,delayed_gated
253,-1.0,-1.0,1,-0.4,0.4,-0.9481575,0,12,delayed_gated
254,-1.0,-1.0,1,-0.4,0.4,-0.94767785,0,12,delayed_gated
255,-1.0,-1.0,1,-0.2,0.2,-0.5774504,0,12,delayed_gated
