trial_id,context,coh1,coh2,relevant_coh,irrelevant_coh,label,difficulty,final_q_coupled,final_q_decoupled
71,1,0.15,0.3,0.3,0.15,1.0,0.3,0.9901897,-0.018505055
72,1,-0.7,-0.5,-0.5,-0.7,-1.0,0.5,-0.7204913,-0.018505055
73,1,-0.5,-0.7,-0.7,-0.5,-1.0,0.7,-1.227064,-0.018505055
74,1,0.15,-0.3,-0.3,0.15,-1.0,0.3,-0.70431644,-0.018505055
75,1,-0.7,-0.3,-0.3,-0.7,-1.0,0.3,-0.482534,-0.018505055
76,1,0.15,-0.7,-0.7,0.15,-1.0,0.7,-1.1558512,-0.018505055
77,1,-0.15,-0.3,-0.3,-0.15,-1.0,0.3,-0.6484208,-0.018505055
78,1,0.7,-0.3,-0.3,0.7,-1.0,0.3,-0.37788624,-0.018505055
79,0,0.7,-0.7,0.7,-0.7,1.0,0.7,1.1942065,-0.030114219
80,0,0.7,0.5,0.7,0.5,1.0,0.7,1.5900701,-0.030114219
81,1,-0.5,0.3,0.3,-0.5,1.0,0.3,0.75677127,-0.018505055
82,1,-0.15,0.7,0.7,-0.15,1.0,0.7,1.3449297,-0.018505055
83,0,-0.7,-0.3,-0.7,-0.3,-1.0,0.7,-1.6048362,-0.030114219
84,0,-0.7,-0.15,-0.7,-0.15,-1.0,0.7,-1.2889662,-0.030114219
85,0,0.15,0.5,0.15,0.5,1.0,0.15,0.44206038,-0.030114219
86,0,0.7,0.3,0.7,0.3,1.0,0.7,1.6133404,-0.030114219
87,1,-0.15,-0.3,-0.3,-0.15,-1.0,0.3,-0.5611607,-0.018505055
88,0,0.15,0.5,0.15,0.5,1.0,0.15,0.35894096,-0.030114219
89,0,-0.7,0.15,-0.7,0.15,-1.0,0.7,-1.2654097,-0.030114219
90,0,0.5,0.7,0.5,0.7,1.0,0.5,1.0757164,-0.030114219
91,1,-0.5,0.7,0.7,-0.5,1.0,0.7,1.0126928,-0.018505055
