trial_id,final_abs_q,cue_d_auc,cue_d_peak,stimulus_d_auc,stimulus_d_peak,delay_d_auc,delay_d_peak,response_d_auc,response_d_peak,d_onset,d_peak_time,d_peak_total,d_auc_total,cue_m_auc,cue_m_peak,stimulus_m_auc,stimulus_m_peak,delay_m_auc,delay_m_peak,response_m_auc,response_m_peak,m_onset,m_peak_time,m_peak_total,m_auc_total,q_onset,q_peak_time,coh1,coh2,context,label,seq_len,relevant_coh,irrelevant_coh,difficulty
0,1.2848769426345825,0.012846332043409348,0.0036499276757240295,0.8796273469924927,0.08171755075454712,0.7448917031288147,0.08414894342422485,1.0374927520751953,0.0785515308380127,12,33,0.08414894342422485,2.8406565189361572,0.0019130129367113113,0.0009632334113121033,0.09735926985740662,0.020506713539361954,0.4514513611793518,0.07924644649028778,2.043379783630371,0.1697576642036438,31,57,0.1697576642036438,2.701228141784668,21,57,-0.30000001192092896,-0.699999988079071,1.0,-1.0,58.0,-0.699999988079071,-0.30000001192092896,0.699999988079071
1,0.43608346581459045,0.023534536361694336,0.006713904440402985,0.10807721316814423,0.015681350603699684,0.28102928400039673,0.04284515976905823,0.790860652923584,0.055285125970840454,6,54,0.055285125970840454,1.271371841430664,0.002896927297115326,0.0012335628271102905,0.09643382579088211,0.005452707409858704,0.034654393792152405,0.00734229851514101,0.23800437152385712,0.029684580862522125,12,57,0.029684580862522125,0.3842540681362152,3,57,0.15000000596046448,-0.699999988079071,0.0,1.0,58.0,0.15000000596046448,-0.699999988079071,0.15000000596046448
2,1.326692819595337,0.012846332043409348,0.0036499276757240295,0.756540060043335,0.07550048828125,0.7523212432861328,0.08523738384246826,1.2030503749847412,0.08516204357147217,13,40,0.08523738384246826,2.8915109634399414,0.0019130129367113113,0.0009632334113121033,0.10664799064397812,0.023485802114009857,0.59735107421875,0.10825265198945999,2.989178419113159,0.25056779384613037,32,57,0.25056779384613037,3.8376710414886475,23,57,-0.15000000596046448,-0.699999988079071,1.0,-1.0,58.0,-0.699999988079071,-0.15000000596046448,0.699999988079071
3,0.7094072103500366,0.023534536361694336,0.006713904440402985,0.3123599886894226,0.02178370952606201,0.15567654371261597,0.024091139435768127,0.41263580322265625,0.028310716152191162,3,50,0.028310716152191162,0.9412134885787964,0.002896927297115326,0.0012335628271102905,0.15796642005443573,0.02333717793226242,0.3697095811367035,0.05813460424542427,2.5490975379943848,0.26854705810546875,33,57,0.26854705810546875,3.1701934337615967,6,57,-0.30000001192092896,0.699999988079071,0.0,-1.0,58.0,-0.30000001192092896,0.699999988079071,0.30000001192092896
4,0.09504170715808868,0.012846332043409348,0.0036499276757240295,0.43886473774909973,0.03682678937911987,0.2777540981769562,0.037319526076316833,0.11721321195363998,0.020367026329040527,8,32,0.037319526076316833,0.9089580178260803,0.0019130129367113113,0.0009632334113121033,0.11097139120101929,0.011294737458229065,0.18496309220790863,0.0305466428399086,1.1764004230499268,0.11820998042821884,32,57,0.11820998042821884,1.5205583572387695,3,37,-0.5,-0.15000000596046448,1.0,-1.0,58.0,-0.15000000596046448,-0.5,0.15000000596046448
5,0.22282227873802185,0.023534536361694336,0.006713904440402985,0.24314719438552856,0.016739562153816223,0.056507453322410583,0.013659268617630005,0.42891812324523926,0.039477087557315826,5,57,0.039477087557315826,0.7854934930801392,0.002896927297115326,0.0012335628271102905,0.17704184353351593,0.012270629405975342,0.1005314365029335,0.012279067188501358,0.11500168591737747,0.009697831235826015,7,32,0.012279067188501358,0.4187525510787964,2,37,-0.15000000596046448,-0.699999988079071,0.0,-1.0,58.0,-0.15000000596046448,-0.699999988079071,0.15000000596046448
6,0.8520161509513855,0.012846332043409348,0.0036499276757240295,0.06614797562360764,0.006497710943222046,0.13507665693759918,0.022768378257751465,0.5275315046310425,0.03982579708099365,8,56,0.03982579708099365,0.7764941453933716,0.0019130129367113113,0.0009632334113121033,0.29535728693008423,0.04144720733165741,0.7586203813552856,0.12929047644138336,4.037772178649902,0.3882139325141907,31,57,0.3882139325141907,5.276426315307617,16,57,-0.30000001192092896,0.30000001192092896,1.0,1.0,58.0,0.30000001192092896,-0.30000001192092896,0.30000001192092896
7,1.0304498672485352,0.012846332043409348,0.0036499276757240295,0.6418219804763794,0.06349262595176697,0.6269623041152954,0.07177811861038208,1.0520806312561035,0.07218039035797119,13,44,0.07218039035797119,2.474240779876709,0.0019130129367113113,0.0009632334113121033,0.08343107998371124,0.014231419190764427,0.42520463466644287,0.08119198679924011,2.3928236961364746,0.211935892701149,33,57,0.211935892701149,3.0074243545532227,24,57,-0.15000000596046448,-0.5,1.0,-1.0,58.0,-0.5,-0.15000000596046448,0.5
8,0.47371935844421387,0.012846332043409348,0.0036499276757240295,0.13231143355369568,0.023043081164360046,0.3757302165031433,0.05385494977235794,0.9279539585113525,0.06407129764556885,25,50,0.06407129764556885,1.53302001953125,0.0019130129367113113,0.0009632334113121033,0.19828274846076965,0.01456630602478981,0.3970211148262024,0.08567532151937485,2.7512779235839844,0.2300558239221573,35,57,0.2300558239221573,3.4481987953186035,9,57,0.699999988079071,-0.30000001192092896,1.0,-1.0,58.0,-0.30000001192092896,0.699999988079071,0.30000001192092896
9,0.43061235547065735,0.012846332043409348,0.0036499276757240295,0.13047054409980774,0.02051086723804474,0.3452848494052887,0.05188503861427307,0.9723243117332458,0.06801086664199829,26,52,0.06801086664199829,1.5401318073272705,0.0019130129367113113,0.0009632334113121033,0.21128296852111816,0.015373442322015762,0.3634980022907257,0.08300043642520905,2.873429298400879,0.2547043561935425,35,57,0.2547043561935425,3.544508695602417,9,57,0.5,-0.30000001192092896,1.0,-1.0,58.0,-0.30000001192092896,0.5,0.30000001192092896
