trial_id,final_abs_q,fixation_d_auc,fixation_d_peak,fixation_d_mean,stimulus_d_auc,stimulus_d_peak,stimulus_d_mean,delay_d_auc,delay_d_peak,delay_d_mean,response_d_auc,response_d_peak,response_d_mean,d_onset,d_peak_time,d_auc_total,fixation_m_auc,fixation_m_peak,fixation_m_mean,stimulus_m_auc,stimulus_m_peak,stimulus_m_mean,delay_m_auc,delay_m_peak,delay_m_mean,response_m_auc,response_m_peak,response_m_mean,m_onset,m_peak_time,m_auc_total,q_onset,q_peak_time,coherence,label,seq_len,difficulty
0,1.0016965866088867,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.17500774562358856,0.02461695671081543,0.009370450861752033,0.37898552417755127,0.031909942626953125,0.019865255802869797,0.3444851040840149,0.03165316581726074,0.024450277909636497,18,35,0.9364937543869019,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.1468866616487503,0.03036322072148323,0.008104624226689339,1.4851882457733154,0.2889934182167053,0.08234920352697372,7.868609428405762,0.760526716709137,0.5608471632003784,45,64,9.841646194458008,26,50,0.20000000298023224,1.0,65.0,0.20000000298023224
1,1.0006835460662842,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.41386204957962036,0.048429638147354126,0.021903205662965775,0.3588820695877075,0.04652714729309082,0.019693896174430847,0.40068015456199646,0.031016826629638672,0.028561174869537354,16,28,1.2457032203674316,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.33466312289237976,0.05634625628590584,0.018143024295568466,4.489904880523682,0.559006929397583,0.23983660340309143,10.712406158447266,0.8877792954444885,0.7634750604629517,38,64,16.167953491210938,22,42,-0.800000011920929,-1.0,65.0,0.800000011920929
2,0.9904159307479858,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.05438126623630524,0.011376488953828812,0.0030081155709922314,0.4448354244232178,0.029401004314422607,0.022938549518585205,0.17254707217216492,0.023940443992614746,0.012675821781158447,24,41,0.6979525089263916,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.032150998711586,0.00956675037741661,0.0018479293212294579,0.632411539554596,0.05222423002123833,0.03230013698339462,4.332696914672852,0.5887851119041443,0.3098413348197937,52,64,5.036313533782959,34,59,-0.20000000298023224,-1.0,65.0,0.20000000298023224
3,0.9964824914932251,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.25027039647102356,0.03793415427207947,0.01346651278436184,0.4181686341762543,0.04281353950500488,0.022385457530617714,0.4000730514526367,0.03402280807495117,0.028489267453551292,18,32,1.1282191276550293,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.19020327925682068,0.04060298949480057,0.010526448488235474,2.8992393016815186,0.4708794355392456,0.15787482261657715,9.555760383605957,0.8285225629806519,0.6814969182014465,42,64,13.17634391784668,25,46,0.4000000059604645,1.0,65.0,0.4000000059604645
4,0.9996045827865601,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.43501588702201843,0.048265695571899414,0.022941702976822853,0.34862226247787476,0.04507339000701904,0.01915057562291622,0.43500715494155884,0.035298824310302734,0.031010178849101067,16,28,1.29020094871521,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.35315075516700745,0.05419076234102249,0.01901351660490036,4.930462837219238,0.6000106334686279,0.2627767026424408,10.422674179077148,0.8526725172996521,0.7440317273139954,37,64,16.37006950378418,21,41,0.800000011920929,1.0,65.0,0.800000011920929
5,0.998876690864563,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.3556364178657532,0.047708988189697266,0.018979184329509735,0.38679394125938416,0.0479048490524292,0.02109505794942379,0.39331355690956116,0.030823230743408203,0.02802928350865841,17,30,1.207364559173584,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.27707386016845703,0.05357392132282257,0.015194252133369446,3.931509017944336,0.529694676399231,0.2112167775630951,10.508915901184082,0.8821712136268616,0.7488240003585815,39,64,15.319620132446289,24,43,-0.6000000238418579,-1.0,65.0,0.6000000238418579
6,0.9951991438865662,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.2281540036201477,0.03435048460960388,0.012271103449165821,0.4081868529319763,0.039581894874572754,0.021773822605609894,0.37032613158226013,0.030520379543304443,0.026357376947999,18,32,1.0618510246276855,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.1836523562669754,0.039333757013082504,0.01016717217862606,2.405228614807129,0.4114453196525574,0.13166159391403198,9.75954532623291,0.872020959854126,0.694884717464447,43,64,12.82396125793457,26,47,-0.4000000059604645,-1.0,65.0,0.4000000059604645
7,1.0002199411392212,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.43678638339042664,0.050064146518707275,0.023075725883245468,0.3535923361778259,0.04692113399505615,0.01944158412516117,0.43320441246032715,0.03517758846282959,0.030881159007549286,16,28,1.2968268394470215,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.33865052461624146,0.0549885630607605,0.018308453261852264,4.902488708496094,0.5955391526222229,0.26129716634750366,10.343928337097168,0.8467570543289185,0.7384272217750549,37,64,16.245269775390625,22,41,0.800000011920929,1.0,65.0,0.800000011920929
8,1.002289891242981,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.4628852307796478,0.051157236099243164,0.02438526228070259,0.3418610095977783,0.04603242874145508,0.018835078924894333,0.4320536255836487,0.035005927085876465,0.03080058842897415,16,28,1.3097648620605469,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.36183351278305054,0.05511278659105301,0.019443172961473465,5.108239650726318,0.5991058945655823,0.2715887427330017,10.29052734375,0.8394760489463806,0.7346971035003662,37,64,16.42148208618164,21,41,0.800000011920929,1.0,65.0,0.800000011920929
9,1.001463770866394,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.12003251910209656,0.02004159986972809,0.006507305894047022,0.42115435004234314,0.03208059072494507,0.02169075235724449,0.28405678272247314,0.02810502052307129,0.020087039098143578,20,37,0.8520662784576416,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.09464562684297562,0.021871894598007202,0.0052802893333137035,0.9733096361160278,0.17565931379795074,0.053702838718891144,7.185596466064453,0.7577171325683594,0.5115810632705688,48,64,8.474645614624023,29,54,-0.20000000298023224,-1.0,65.0,0.20000000298023224
10,0.9969053864479065,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.3704519271850586,0.04534101486206055,0.019660761579871178,0.3699231743812561,0.045070767402648926,0.020190849900245667,0.429404079914093,0.03521299362182617,0.03060503862798214,16,29,1.2393534183502197,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.3009677827358246,0.05286720395088196,0.01637127995491028,4.277052879333496,0.571751594543457,0.22948293387889862,10.325311660766602,0.8567654490470886,0.7368608117103577,39,64,15.541738510131836,22,43,0.6000000238418579,1.0,65.0,0.6000000238418579
11,1.0002530813217163,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.16623209416866302,0.02588774263858795,0.008963437750935555,0.4135778844356537,0.03539615869522095,0.02166260965168476,0.35070568323135376,0.03196525573730469,0.024902936071157455,19,35,0.9709343910217285,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.13150838017463684,0.028431978076696396,0.007287429179996252,1.6009702682495117,0.3122269809246063,0.08867718279361725,8.153562545776367,0.7734821438789368,0.581084668636322,45,64,10.248948097229004,26,49,0.20000000298023224,1.0,65.0,0.20000000298023224
12,0.9965612292289734,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.28368353843688965,0.042908936738967896,0.015261540189385414,0.41742783784866333,0.04590970277786255,0.022497912868857384,0.40993309020996094,0.03441441059112549,0.029202310368418694,18,31,1.1768686771392822,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.20457538962364197,0.04467093199491501,0.011346752755343914,3.351222038269043,0.5076107978820801,0.18148991465568542,9.799038887023926,0.8343709707260132,0.6990377902984619,41,64,13.925241470336914,24,45,0.6000000238418579,1.0,65.0,0.6000000238418579
13,1.0013999938964844,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.1016886830329895,0.01702786237001419,0.005514770746231079,0.4259629249572754,0.030080795288085938,0.021832767874002457,0.24465829133987427,0.02706211805343628,0.01725071296095848,21,38,0.7930324673652649,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.07752924412488937,0.018573105335235596,0.004342000465840101,0.7802330851554871,0.1144188791513443,0.04242328181862831,6.243583679199219,0.7062425017356873,0.4448670744895935,49,64,7.255315780639648,30,56,-0.20000000298023224,-1.0,65.0,0.20000000298023224
14,0.9971670508384705,0.0007679606787860394,0.00016818474978208542,8.52053053677082e-05,0.20561274886131287,0.03479066491127014,0.01115504465997219,0.4443815350532532,0.04295778274536133,0.02357802540063858,0.3852744698524475,0.03342735767364502,0.027417492121458054,20,33,1.090062141418457,0.00010608416050672531,3.837933763861656e-05,1.2527382750704419e-05,0.14045250415802002,0.0336451418697834,0.007864965125918388,2.415297508239746,0.4225273132324219,0.13230827450752258,9.147087097167969,0.811528205871582,0.6521635055541992,43,64,12.180278778076172,26,47,0.4000000059604645,1.0,65.0,0.4000000059604645
