trial_id,mode,mode_name,label,signal_strength,final_q_coupled,final_q_decoupled
0,0,integrate,-1.0,-0.6257494,-1.1995639,-0.060420394
1,0,integrate,1.0,0.12150321,0.66461486,-0.060420394
2,1,memory,-1.0,-0.003301764,-0.20229188,-0.072076686
3,1,memory,-1.0,-0.07230847,-0.5712351,-0.072076686
4,0,integrate,-1.0,-0.2580844,-0.7164252,-0.060420394
5,0,integrate,1.0,0.50486964,1.007982,-0.060420394
6,2,transient,-1.0,0.12343895,-0.25283694,0.006933025
7,2,transient,1.0,0.2806256,0.19178092,0.006933025
8,0,integrate,1.0,0.38534,0.8527657,-0.060420394
9,2,transient,1.0,-0.015474833,0.19980559,0.006933025
10,2,transient,-1.0,-0.0073529393,-0.36121255,0.006933025
11,2,transient,-1.0,0.18175913,-0.17567712,0.006933025
12,2,transient,1.0,0.024492217,0.60129637,0.006933025
13,2,transient,-1.0,-0.45749858,-0.6454682,0.006933025
14,0,integrate,-1.0,-0.4842038,-1.0401256,-0.060420394
15,2,transient,-1.0,-0.2964073,-0.3372203,0.006933025
16,2,transient,-1.0,0.013046995,-0.45252648,0.006933025
17,2,transient,1.0,0.46467495,0.43604875,0.006933025
18,0,integrate,1.0,0.5563532,1.0214515,-0.060420394
19,2,transient,-1.0,-0.43018904,-0.63027364,0.006933025
20,0,integrate,-1.0,-0.5802184,-1.134166,-0.060420394
21,2,transient,1.0,0.15015848,0.54308134,0.006933025
22,0,integrate,-1.0,-0.21891648,-0.6374578,-0.060420394
23,2,transient,-1.0,0.11467326,-0.2499139,0.006933025
24,0,integrate,1.0,0.4588194,0.99231195,-0.060420394
25,2,transient,-1.0,-0.5828664,-0.87362576,0.006933025
26,1,memory,1.0,0.119327486,0.9724752,-0.072076686
27,2,transient,-1.0,-0.37625673,-0.50375247,0.006933025
28,1,memory,1.0,0.034429725,0.6846454,-0.072076686
29,2,transient,-1.0,-0.64132637,-0.94900924,0.006933025
30,0,integrate,1.0,0.24778354,0.82753706,-0.060420394
31,2,transient,-1.0,-0.25998595,-0.25910342,0.006933025
32,0,integrate,-1.0,-0.5836461,-1.1480249,-0.060420394
33,0,integrate,-1.0,-0.6206661,-1.1803423,-0.060420394
34,1,memory,-1.0,0.003708687,-0.048224643,-0.072076686
35,2,transient,1.0,-0.014460607,0.33367947,0.006933025
36,1,memory,1.0,0.076849215,0.8752745,-0.072076686
37,1,memory,-1.0,-0.031521153,-0.33355445,-0.072076686
38,2,transient,-1.0,-0.62544864,-0.92754424,0.006933025
39,0,integrate,1.0,0.4437419,0.9273357,-0.060420394
40,1,memory,-1.0,-0.088796236,-0.6488871,-0.072076686
41,2,transient,-1.0,0.15134527,-0.18215899,0.006933025
42,2,transient,-1.0,0.015341685,-0.4852411,0.006933025
43,2,transient,1.0,0.3177767,0.16652824,0.006933025
44,1,memory,1.0,0.17081755,1.0381413,-0.072076686
45,1,memory,-1.0,-0.075863756,-0.51838505,-0.072076686
46,1,memory,1.0,0.12606761,0.9727044,-0.072076686
47,1,memory,-1.0,-0.17098922,-0.9350193,-0.072076686
48,2,transient,-1.0,-0.01913051,-0.35341737,0.006933025
49,2,transient,1.0,-0.02333238,0.47979245,0.006933025
50,2,transient,1.0,0.13851829,0.50826126,0.006933025
51,2,transient,1.0,0.3443739,0.21613643,0.006933025
52,0,integrate,1.0,0.1305006,0.81374776,-0.060420394
53,0,integrate,-1.0,-0.260176,-0.7280847,-0.060420394
54,2,transient,-1.0,-0.012854579,-0.35183105,0.006933025
55,0,integrate,-1.0,-0.52974945,-1.0976695,-0.060420394
56,0,integrate,-1.0,-0.17747371,-0.53836423,-0.060420394
57,2,transient,-1.0,-0.031380486,-0.37362233,0.006933025
58,2,transient,1.0,-0.002695286,0.48588184,0.006933025
59,2,transient,1.0,0.43187603,0.3475133,0.006933025
60,2,transient,1.0,0.0046912036,0.25805157,0.006933025
61,1,memory,-1.0,-0.0715717,-0.5742365,-0.072076686
62,2,transient,-1.0,-0.4603814,-0.70340586,0.006933025
63,0,integrate,-1.0,-0.39603248,-0.95460653,-0.060420394
64,0,integrate,1.0,0.5778777,0.99279,-0.060420394
65,1,memory,-1.0,-0.07825499,-0.5845163,-0.072076686
66,0,integrate,1.0,0.31533608,0.84236956,-0.060420394
67,1,memory,1.0,0.08977246,0.8807716,-0.072076686
68,0,integrate,1.0,0.43123105,0.8974626,-0.060420394
69,2,transient,1.0,0.45091298,0.41130298,0.006933025
70,0,integrate,-1.0,-0.44382906,-1.0046315,-0.060420394
71,0,integrate,-1.0,-0.61492556,-1.1813475,-0.060420394
72,1,memory,1.0,0.009736799,0.63507915,-0.072076686
73,1,memory,1.0,0.08332462,0.879845,-0.072076686
74,0,integrate,-1.0,-0.1515714,-0.46257767,-0.060420394
75,0,integrate,-1.0,-0.34096432,-0.86617684,-0.060420394
76,2,transient,1.0,-0.009118454,0.51619726,0.006933025
77,2,transient,1.0,0.46434465,0.42803678,0.006933025
78,0,integrate,1.0,0.46673688,0.9486873,-0.060420394
79,1,memory,-1.0,-0.1020829,-0.70305383,-0.072076686
80,1,memory,-1.0,-0.07858559,-0.62411827,-0.072076686
81,2,transient,1.0,0.120167516,0.43683255,0.006933025
82,0,integrate,1.0,0.27137062,0.80666614,-0.060420394
83,0,integrate,1.0,0.47040728,0.958276,-0.060420394
84,1,memory,1.0,0.111269124,0.97254086,-0.072076686
85,1,memory,-1.0,-0.07955587,-0.6694773,-0.072076686
86,2,transient,-1.0,0.0071814186,-0.4783495,0.006933025
87,1,memory,-1.0,-0.09455653,-0.6146879,-0.072076686
88,1,memory,1.0,0.12379215,0.994727,-0.072076686
89,0,integrate,-1.0,-0.45902076,-1.0081071,-0.060420394
90,2,transient,1.0,0.13836975,0.5156036,0.006933025
91,1,memory,-1.0,-0.1373275,-0.82279557,-0.072076686
92,2,transient,1.0,-0.02969824,0.46901822,0.006933025
93,2,transient,1.0,0.042134482,0.33124855,0.006933025
94,0,integrate,-1.0,-0.33205742,-0.8512484,-0.060420394
95,1,memory,1.0,0.15170576,0.9932432,-0.072076686
96,1,memory,-1.0,-0.18204801,-0.94747174,-0.072076686
97,1,memory,1.0,0.16274406,1.0218034,-0.072076686
98,2,transient,-1.0,-0.35548377,-0.51946324,0.006933025
99,0,integrate,1.0,0.43406495,0.9013525,-0.060420394
100,0,integrate,1.0,0.36966118,0.86278796,-0.060420394
101,1,memory,-1.0,-0.08544934,-0.5683372,-0.072076686
102,0,integrate,1.0,0.17978431,0.81996906,-0.060420394
103,2,transient,1.0,0.004209993,0.28791988,0.006933025
104,2,transient,-1.0,-0.03079239,-0.33363822,0.006933025
105,1,memory,-1.0,-0.09000813,-0.7480923,-0.072076686
106,2,transient,-1.0,-0.18158138,-0.65674293,0.006933025
107,1,memory,-1.0,-0.07512626,-0.49844858,-0.072076686
108,0,integrate,-1.0,-0.5983041,-1.1708465,-0.060420394
109,1,memory,1.0,0.081033856,0.8578663,-0.072076686
110,1,memory,1.0,0.18274474,1.0400577,-0.072076686
111,1,memory,-1.0,-0.13731906,-0.81558996,-0.072076686
112,2,transient,-1.0,-0.4684671,-0.7357465,0.006933025
113,2,transient,1.0,0.1315246,0.5257487,0.006933025
114,1,memory,-1.0,-0.0737396,-0.5868114,-0.072076686
115,2,transient,-1.0,-0.006261436,-0.36628821,0.006933025
116,1,memory,-1.0,-0.051477548,-0.39342433,-0.072076686
117,2,transient,1.0,-0.14757182,0.13276225,0.006933025
118,2,transient,1.0,0.0042380593,0.34767333,0.006933025
119,1,memory,-1.0,-0.06842447,-0.49864128,-0.072076686
120,1,memory,-1.0,-0.13594487,-0.7440894,-0.072076686
