trial_id,final_abs_q,cue_d_auc,cue_d_peak,signal_d_auc,signal_d_peak,delay_d_auc,delay_d_peak,response_d_auc,response_d_peak,d_onset,d_peak_time,d_peak_total,d_auc_total,cue_m_auc,cue_m_peak,signal_m_auc,signal_m_peak,delay_m_auc,delay_m_peak,response_m_auc,response_m_peak,m_onset,m_peak_time,m_peak_total,m_auc_total,q_onset,q_peak_time,mode,label,seq_len,mode_name
0,1.1995638608932495,0.034267935901880264,0.008640706539154053,0.89909827709198,0.0980256199836731,1.6608178615570068,0.10487556457519531,0.5886405110359192,0.055071353912353516,15,35,0.10487556457519531,3.347984552383423,0.0007275715470314026,0.0004215240478515625,0.20221127569675446,0.02141757123172283,0.42695677280426025,0.05297209694981575,2.640505313873291,0.2630729675292969,35,67,0.2630729675292969,3.3542022705078125,6,46,0.0,-1.0,68.0,integrate
1,0.6646148562431335,0.034267935901880264,0.008640706539154053,0.255764365196228,0.019075214862823486,0.6620762348175049,0.047348618507385254,0.6333887577056885,0.04856729507446289,4,54,0.04856729507446289,1.6619365215301514,0.0007275715470314026,0.0004215240478515625,0.02868375927209854,0.002336045727133751,0.060545217245817184,0.007167449686676264,0.6243234872817993,0.09704993665218353,53,67,0.09704993665218353,0.7254692316055298,2,61,0.0,1.0,68.0,integrate
2,0.20229187607765198,0.011226171627640724,0.004738371819257736,0.10351912677288055,0.006254468113183975,0.12637682259082794,0.00783511996269226,0.05911724269390106,0.007403314113616943,3,48,0.00783511996269226,0.31804943084716797,0.0002896161749958992,7.189996540546417e-05,0.05183964967727661,0.0034692585468292236,0.12043431401252747,0.012885477393865585,0.23905690014362335,0.022991284728050232,18,67,0.022991284728050232,0.4276594817638397,45,67,1.0,-1.0,68.0,memory
3,0.5712351202964783,0.011226171627640724,0.004738371819257736,0.07983897626399994,0.006254468113183975,0.20467393100261688,0.01595926284790039,0.3053983151912689,0.023652732372283936,5,67,0.023652732372283936,0.6281139850616455,0.0002896161749958992,7.189996540546417e-05,0.06263631582260132,0.005120269954204559,0.26567739248275757,0.028706010431051254,0.4233695864677429,0.02915923297405243,19,57,0.02915923297405243,0.7859438061714172,29,67,1.0,-1.0,68.0,memory
4,0.7164251804351807,0.034267935901880264,0.008640706539154053,0.4996263384819031,0.051867157220840454,1.0884311199188232,0.061978936195373535,0.4458136260509491,0.043782949447631836,5,39,0.061978936195373535,2.1753435134887695,0.0007275715470314026,0.0004215240478515625,0.1254291981458664,0.008472736924886703,0.1863909512758255,0.03244050219655037,1.8353197574615479,0.201846644282341,49,67,0.201846644282341,2.1938607692718506,3,48,0.0,-1.0,68.0,integrate
5,1.0079820156097412,0.034267935901880264,0.008640706539154053,0.6776981949806213,0.07074713706970215,1.5814136266708374,0.09289348125457764,0.32222479581832886,0.05401182174682617,9,40,0.09289348125457764,2.754216194152832,0.0007275715470314026,0.0004215240478515625,0.06027980148792267,0.008763577789068222,0.40228208899497986,0.08026193827390671,2.5134081840515137,0.2621995210647583,46,67,0.2621995210647583,3.0705599784851074,5,49,0.0,1.0,68.0,integrate
6,0.2528369426727295,0.005149673670530319,0.0022043734788894653,0.6939849853515625,0.043807148933410645,0.37078118324279785,0.0372999906539917,0.6886899471282959,0.05013805627822876,9,65,0.05013805627822876,1.8324837684631348,0.0022554099559783936,0.0009792149066925049,0.1378030925989151,0.009442239999771118,1.3235887289047241,0.18591582775115967,4.315869331359863,0.37147843837738037,40,67,0.37147843837738037,5.974255084991455,4,35,2.0,-1.0,68.0,transient
7,0.1917809247970581,0.005149673670530319,0.0022043734788894653,0.4549141526222229,0.0406414270401001,0.5160130262374878,0.04301327466964722,0.3949667811393738,0.03787536174058914,10,34,0.04301327466964722,1.4211692810058594,0.0022554099559783936,0.0009792149066925049,0.09277153015136719,0.005693286657333374,0.8259552717208862,0.13601179420948029,3.604769229888916,0.3335336446762085,42,67,0.3335336446762085,4.671469688415527,4,42,2.0,1.0,68.0,transient
8,0.852765679359436,0.034267935901880264,0.008640706539154053,0.6023249626159668,0.05703023076057434,1.3569579124450684,0.07865315675735474,0.3101831078529358,0.05094718933105469,7,41,0.07865315675735474,2.4249837398529053,0.0007275715470314026,0.0004215240478515625,0.047856852412223816,0.006071032956242561,0.3277510702610016,0.06726240366697311,2.275540828704834,0.2470247745513916,46,67,0.2470247745513916,2.7295355796813965,4,50,0.0,1.0,68.0,integrate
9,0.1998055875301361,0.005149673670530319,0.0022043734788894653,0.18542364239692688,0.01421954482793808,0.16577620804309845,0.012819916009902954,0.1911390721797943,0.0170556902885437,7,66,0.0170556902885437,0.5652546286582947,0.0022554099559783936,0.0009792149066925049,0.046949081122875214,0.005959063768386841,0.28204062581062317,0.021168068051338196,0.3351825177669525,0.04297325015068054,29,67,0.04297325015068054,0.6946656703948975,1,67,2.0,1.0,68.0,transient
10,0.3612125515937805,0.005149673670530319,0.0022043734788894653,0.3802716135978699,0.023295164108276367,0.2626151442527771,0.03347322344779968,0.639124870300293,0.0448208749294281,10,62,0.0448208749294281,1.3400921821594238,0.0022554099559783936,0.0009792149066925049,0.08676598221063614,0.005885183811187744,1.0375306606292725,0.14415574073791504,3.5334250926971436,0.31247854232788086,40,67,0.31247854232788086,4.811409950256348,3,67,2.0,-1.0,68.0,transient
11,0.1756771206855774,0.005149673670530319,0.0022043734788894653,0.7973952293395996,0.05160808563232422,0.42068082094192505,0.045390546321868896,0.6770368218421936,0.05038711428642273,9,26,0.05160808563232422,1.9798976182937622,0.0022554099559783936,0.0009792149066925049,0.15477298200130463,0.010695874691009521,1.3876701593399048,0.1954185664653778,4.463570594787598,0.3814629316329956,40,67,0.3814629316329956,6.213959693908691,4,36,2.0,-1.0,68.0,transient
