experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,0,1.5804399251937866,0.8222094178199768,55.15283203125,0.11770433187484741,0.04902129992842674,3.3257100582122803,1.2737950086593628,0.356292188167572,23.593896865844727,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,1,1.3292253017425537,0.7927176356315613,53.34763717651367,0.10082310438156128,0.026482172310352325,1.7968127727508545,0.39530009031295776,0.13441580533981323,9.004366874694824,15
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,2,1.0715211629867554,0.6939429044723511,46.6582145690918,0.045187562704086304,0.014465832151472569,0.9786826372146606,0.4568326473236084,0.1809578835964203,12.095100402832031,16
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,3,1.2164009809494019,0.7506297826766968,50.48281478881836,0.07475394010543823,0.02173416130244732,1.4708240032196045,0.2789316475391388,0.09317918866872787,6.222610950469971,16
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,4,1.3065181970596313,0.7793757915496826,52.43375015258789,0.089999258518219,0.024910196661949158,1.6908388137817383,0.37243178486824036,0.12233945727348328,8.202055931091309,15
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,5,1.1406917572021484,0.7142040133476257,47.995521545410156,0.05925440788269043,0.021471112966537476,1.4498143196105957,0.2154744267463684,0.0710596963763237,4.743568420410156,17
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,6,1.0820682048797607,0.5827866196632385,39.24989318847656,0.08715516328811646,0.026206037029623985,1.7705085277557373,0.3315408229827881,0.12575115263462067,8.385309219360352,21
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,7,1.2472599744796753,0.6678943634033203,45.0155143737793,0.11644870042800903,0.03331778198480606,2.246816635131836,0.3964889347553253,0.11600755155086517,7.881094932556152,17
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,8,1.0718544721603394,0.5851016044616699,39.3702507019043,0.08150160312652588,0.022087058052420616,1.4929516315460205,0.26185452938079834,0.07645289599895477,5.174108028411865,20
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,9,1.2231756448745728,0.6430528163909912,43.3438606262207,0.1140146255493164,0.03259507194161415,2.200061798095703,0.37400826811790466,0.11742047220468521,7.927609920501709,19
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,10,1.1335104703903198,0.637048602104187,42.896339416503906,0.08796322345733643,0.02333643101155758,1.5787231922149658,0.31577062606811523,0.09545230865478516,6.4428839683532715,17
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,11,0.6801075339317322,0.2911663353443146,19.7316951751709,0.09318679571151733,0.04017138108611107,2.6990253925323486,0.4734236001968384,0.1335124373435974,8.84609603881836,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,12,1.0756230354309082,0.5880463123321533,39.56818389892578,0.08041423559188843,0.022044360637664795,1.4904849529266357,0.2645309269428253,0.07735283672809601,5.235262393951416,20
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,13,0.4783463478088379,0.2702629864215851,18.138713836669922,0.0511135458946228,0.028041325509548187,1.8913079500198364,0.38890141248703003,0.17304234206676483,11.713706970214844,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,14,1.2390151023864746,0.6182107329368591,41.418819427490234,0.029800936579704285,0.0112442746758461,0.7588669657707214,0.16002534329891205,0.052198998630046844,3.529085159301758,17
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,15,0.7571279406547546,0.44638997316360474,30.14042854309082,0.04734969139099121,0.020068539306521416,1.3551703691482544,0.7104722261428833,0.27496597170829773,18.513057708740234,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,16,0.42224442958831787,0.19557170569896698,13.143050193786621,0.06275665760040283,0.02966683730483055,2.0165328979492188,0.2135532647371292,0.06920994073152542,4.64232873916626,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,17,1.0542632341384888,0.7269248366355896,48.915924072265625,0.05859449505805969,0.01672177202999592,1.1310718059539795,0.45039981603622437,0.19503605365753174,13.057750701904297,15
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,18,1.7356246709823608,0.9102749824523926,61.03572082519531,0.1468469202518463,0.0477781742811203,3.2407920360565186,0.5989576578140259,0.22870273888111115,15.368557929992676,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,19,1.1645293235778809,0.6224159598350525,41.954978942871094,0.10028058290481567,0.030445639044046402,2.056708812713623,0.34072619676589966,0.1229623332619667,8.247957229614258,19
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,20,0.4156116843223572,0.18171222507953644,12.20550537109375,0.06125560402870178,0.027692794799804688,1.8821308612823486,0.20389412343502045,0.07807158678770065,5.242714881896973,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,21,1.413954496383667,0.8019512891769409,53.975975036621094,0.11800944805145264,0.03103485517203808,2.109731912612915,0.4977227449417114,0.1717783510684967,11.587922096252441,14
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,22,1.159784197807312,0.609963595867157,41.1031608581543,0.10223555564880371,0.02991153858602047,2.020592212677002,0.3372372090816498,0.12237531691789627,8.200939178466797,20
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,23,0.9703252911567688,0.5547201633453369,37.277503967285156,0.06033968925476074,0.02210191823542118,1.492910385131836,0.19569110870361328,0.06117726117372513,4.153217315673828,21
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,24,1.321884274482727,0.7795851826667786,52.450721740722656,0.09890401363372803,0.025837179273366928,1.7537615299224854,0.38951098918914795,0.1285465806722641,8.619413375854492,15
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,25,1.4187393188476562,0.8100977540016174,54.528289794921875,0.12353205680847168,0.031002894043922424,2.1067962646484375,0.4937148988246918,0.17129363119602203,11.533893585205078,14
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,26,0.7321511507034302,0.4506394565105438,30.42441177368164,0.046735167503356934,0.019484369084239006,1.316852331161499,0.7087205648422241,0.2730579674243927,18.395774841308594,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,27,1.6419817209243774,0.8636171221733093,57.91608810424805,0.12311241030693054,0.04908566549420357,3.325315237045288,1.333385705947876,0.36005115509033203,23.81678581237793,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,28,0.6529665589332581,0.2905251681804657,19.67911148071289,0.09343601763248444,0.039891429245471954,2.6810874938964844,0.4588013291358948,0.12868128716945648,8.52369499206543,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,29,1.1690850257873535,0.6178733706474304,41.643314361572266,0.10185325145721436,0.030307026579976082,2.047182083129883,0.34208035469055176,0.12212934345006943,8.192599296569824,20
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,30,1.1318109035491943,0.6429028511047363,43.285457611083984,0.08364540338516235,0.023040663450956345,1.5602116584777832,0.3252778947353363,0.09927944839000702,6.7056474685668945,17
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,31,0.48338520526885986,0.25758299231529236,17.417682647705078,0.09058557450771332,0.037049707025289536,2.490017890930176,0.39306145906448364,0.10418646037578583,6.888148784637451,9
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,32,1.1231666803359985,0.6117085814476013,41.20991516113281,0.08880817890167236,0.02428027242422104,1.6364065408706665,0.2822987139225006,0.082551009953022,5.574817180633545,17
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,33,1.116860270500183,0.7392885684967041,49.72145080566406,0.048375338315963745,0.01806703768670559,1.2197003364562988,0.41147083044052124,0.1765034943819046,11.822440147399902,15
state_setting__gated__seed2,StateSettingTask,TwoRegionGatedRNN,2,0,34,1.0506024360656738,0.7167014479637146,48.22138595581055,0.05377453565597534,0.01604873687028885,1.0857402086257935,0.45746707916259766,0.19350828230381012,12.950779914855957,15
