trial_id,final_abs_q,fixation_d_auc,fixation_d_peak,fixation_d_mean,stimulus_d_auc,stimulus_d_peak,stimulus_d_mean,response_d_auc,response_d_peak,response_d_mean,d_onset,d_peak_time,d_auc_total,fixation_m_auc,fixation_m_peak,fixation_m_mean,stimulus_m_auc,stimulus_m_peak,stimulus_m_mean,response_m_auc,response_m_peak,response_m_mean,m_onset,m_peak_time,m_auc_total,q_onset,q_peak_time,coherence,label,seq_len,difficulty
0,1.0036203861236572,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.9556849002838135,0.08634501695632935,0.038356851786375046,0.24173182249069214,0.02646923065185547,0.017198706045746803,14,24,1.2075072526931763,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,3.3761019706726074,0.8549436926841736,0.15214593708515167,20.422964096069336,1.7584595680236816,1.4523868560791016,30,49,24.710487365722656,19,31,-0.6000000238418579,-1.0,50.0,0.6000000238418579
1,1.000067949295044,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.8918931484222412,0.07468652725219727,0.035919543355703354,0.20002788305282593,0.026295781135559082,0.014451309107244015,15,26,1.1054506301879883,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,1.7765463590621948,0.5671781897544861,0.08240840584039688,18.01510238647461,1.6706582307815552,1.279585361480713,32,49,20.418928146362305,20,35,-0.4000000059604645,-1.0,50.0,0.4000000059604645
2,1.0011413097381592,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.9313976764678955,0.08258306980133057,0.0373971089720726,0.17769140005111694,0.016682982444763184,0.01260838471353054,13,23,1.1195521354675293,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,3.708296537399292,0.8465272784233093,0.16526538133621216,18.484201431274414,1.5570430755615234,1.3153539896011353,29,49,23.08368682861328,17,31,0.800000011920929,1.0,50.0,0.800000011920929
3,1.0010801553726196,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.7918039560317993,0.062110066413879395,0.03210241347551346,0.13033562898635864,0.015420675277709961,0.009679515846073627,14,27,0.9444465041160583,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,1.0809959173202515,0.3638126254081726,0.050519075244665146,14.250144958496094,1.417999029159546,1.0125139951705933,33,49,15.741952896118164,20,35,0.20000000298023224,1.0,50.0,0.20000000298023224
4,0.9984062910079956,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.8921392560005188,0.07457256317138672,0.03585987910628319,0.16219019889831543,0.016617655754089355,0.011572448536753654,14,24,1.065615177154541,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,2.655383586883545,0.6969563364982605,0.12015745788812637,17.36167335510254,1.5222761631011963,1.2346421480178833,30,49,20.762697219848633,18,33,0.6000000238418579,1.0,50.0,0.6000000238418579
5,1.001353144645691,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.9910728931427002,0.09214156866073608,0.039776209741830826,0.2653585970401764,0.026428818702697754,0.018825829029083252,14,22,1.267418622970581,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,4.749452590942383,1.0251953601837158,0.21048499643802643,21.654041290283203,1.80216383934021,1.541183352470398,28,49,27.47905731201172,18,30,-0.800000011920929,-1.0,50.0,0.800000011920929
6,1.0030616521835327,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.9334913492202759,0.08168786764144897,0.03748457878828049,0.18771058320999146,0.0169217586517334,0.013296866789460182,13,22,1.1319468021392822,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,4.27387809753418,0.9061722159385681,0.18908154964447021,18.862104415893555,1.567322015762329,1.3427067995071411,28,49,24.084247589111328,17,30,0.800000011920929,1.0,50.0,0.800000011920929
7,0.9984455704689026,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.9029430150985718,0.07637113332748413,0.03626832365989685,0.16938424110412598,0.016874074935913086,0.012043090537190437,13,24,1.0827577114105225,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,3.0072922706604004,0.7502142786979675,0.1352989822626114,17.742944717407227,1.5330851078033447,1.262099027633667,29,49,21.547683715820312,18,32,0.6000000238418579,1.0,50.0,0.6000000238418579
8,0.9998564124107361,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.901870608329773,0.07541036605834961,0.036236103624105453,0.1769789457321167,0.016875147819519043,0.012579381465911865,13,23,1.0899958610534668,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,3.3332319259643555,0.7895339727401733,0.1491229385137558,18.03508186340332,1.5429496765136719,1.2831265926361084,29,49,22.20376205444336,17,32,0.6000000238418579,1.0,50.0,0.6000000238418579
9,0.9996693730354309,0.0034584524109959602,0.0007635103538632393,0.0003840207646135241,0.9183453917503357,0.07981449365615845,0.03687746822834015,0.19090807437896729,0.017267346382141113,0.013525922782719135,13,23,1.1200321912765503,0.00021378882229328156,0.00010390579700469971,2.6574172807158902e-05,4.029834270477295,0.8742377161979675,0.17868110537528992,18.592376708984375,1.5578224658966064,1.323380708694458,28,49,23.539093017578125,17,30,0.6000000238418579,1.0,50.0,0.6000000238418579
