difficulty,n,coupled_mean_abs_q,decoupled_mean_abs_q,decoupling_cost,relative_cost
0.2,67,0.9943,0.1241,0.8702,0.8752
0.4,69,0.9995,0.2494,0.7502,0.7505
0.6,51,0.9979,0.3831,0.6147,0.616
0.8,69,1.0001,0.4846,0.5155,0.5155
