experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,0,0.8271426558494568,0.36819708347320557,17.500635147094727,0.0735398530960083,0.028282834216952324,1.3417061567306519,1.5589816570281982,0.49467703700065613,22.96500587463379,15
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,1,0.8124697208404541,0.34373709559440613,16.39002227783203,0.08123040199279785,0.029641063883900642,1.4067472219467163,1.4828839302062988,0.5378088355064392,25.087493896484375,14
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,2,0.8838822245597839,0.4047565162181854,19.059423446655273,0.057854413986206055,0.023700237274169922,1.121509075164795,1.4600270986557007,0.3015833795070648,13.745988845825195,18
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,3,0.8334676027297974,0.3844331204891205,18.25318717956543,0.07145416736602783,0.02804899401962757,1.330673098564148,1.5920367240905762,0.4924664795398712,22.84237289428711,15
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,4,0.8306973576545715,0.37406229972839355,17.781511306762695,0.0730276107788086,0.027501793578267097,1.3046271800994873,1.558935523033142,0.46127232909202576,21.361600875854492,16
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,5,0.8474166989326477,0.39640167355537415,18.77424430847168,0.06801235675811768,0.02684914506971836,1.2731192111968994,1.604455590248108,0.4410194158554077,20.366701126098633,16
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,6,0.8326271176338196,0.37425467371940613,17.76654052734375,0.07282602787017822,0.02774258702993393,1.3158223628997803,1.5800917148590088,0.47385862469673157,21.955169677734375,16
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,7,0.8828661441802979,0.41058921813964844,19.344104766845703,0.05663752555847168,0.023977428674697876,1.1349854469299316,1.4834402799606323,0.3170355260372162,14.475988388061523,18
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,8,0.8119421005249023,0.3456364870071411,16.486936569213867,0.08052054047584534,0.029130814597010612,1.382477045059204,1.4839364290237427,0.5105769038200378,23.767940521240234,15
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,9,0.8319868445396423,0.37766554951667786,17.964757919311523,0.07405632734298706,0.027910485863685608,1.3242943286895752,1.5610682964324951,0.4819505512714386,22.353090286254883,15
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,10,0.8796486854553223,0.4136953353881836,19.538330078125,0.060483694076538086,0.024527600035071373,1.1622631549835205,1.4786521196365356,0.33304640650749207,15.246902465820312,18
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,11,0.8476755619049072,0.3915630877017975,18.561969757080078,0.06824779510498047,0.026290806010365486,1.2466983795166016,1.5614182949066162,0.40969395637512207,18.884599685668945,17
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,12,0.9039384722709656,0.38783320784568787,18.20747184753418,0.053555428981781006,0.02156759239733219,1.0180608034133911,1.2975342273712158,0.22305993735790253,10.058109283447266,20
redundant__additive__seed3,RedundantInputControlTask,TwoRegionAdditiveRNN,3,0,13,0.8134916424751282,0.3431034982204437,16.37660026550293,0.08123314380645752,0.02896242029964924,1.374260425567627,1.466403603553772,0.513944685459137,23.941125869750977,15
