trial_id,final_abs_q,fixation_d_auc,fixation_d_peak,fixation_d_mean,stimulus_d_auc,stimulus_d_peak,stimulus_d_mean,delay_d_auc,delay_d_peak,delay_d_mean,response_d_auc,response_d_peak,response_d_mean,d_onset,d_peak_time,d_auc_total,fixation_m_auc,fixation_m_peak,fixation_m_mean,stimulus_m_auc,stimulus_m_peak,stimulus_m_mean,delay_m_auc,delay_m_peak,delay_m_mean,response_m_auc,response_m_peak,response_m_mean,m_onset,m_peak_time,m_auc_total,q_onset,q_peak_time,coherence,label,seq_len,difficulty
0,1.0024110078811646,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.17082631587982178,0.025703012943267822,0.009184425696730614,0.19084182381629944,0.023707866668701172,0.010373493656516075,0.12471044063568115,0.009536147117614746,0.008909733965992928,20,28,0.5208350419998169,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.34761613607406616,0.04826846346259117,0.018535777926445007,5.286051273345947,0.5901086926460266,0.28003963828086853,9.642647743225098,0.744333028793335,0.687930703163147,36,64,15.918368339538574,24,58,0.800000011920929,1.0,65.0,0.800000011920929
1,0.9993017911911011,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.1815967708826065,0.02784627676010132,0.009777790866792202,0.2174307107925415,0.026923716068267822,0.011788681149482727,0.12439101934432983,0.009804248809814453,0.008885828778147697,20,29,0.5608207583427429,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.3142300248146057,0.04543725401163101,0.016847986727952957,4.625992774963379,0.5679782032966614,0.2465764731168747,9.584576606750488,0.7482612133026123,0.6835646033287048,37,64,15.147895812988281,24,58,0.6000000238418579,1.0,65.0,0.6000000238418579
2,0.9997460246086121,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.13536834716796875,0.026831597089767456,0.0074410028755664825,0.33901703357696533,0.034725844860076904,0.01799090765416622,0.11851739883422852,0.011802911758422852,0.008486604318022728,22,33,0.6332552433013916,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.22384324669837952,0.03947199136018753,0.01217951811850071,3.891937255859375,0.6168328523635864,0.21108484268188477,12.793529510498047,1.0954625606536865,0.9115830659866333,41,64,17.59136962890625,26,49,-0.4000000059604645,-1.0,65.0,0.4000000059604645
3,0.9968942999839783,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.13844802975654602,0.026249676942825317,0.00758043909445405,0.2851253151893616,0.030580073595046997,0.015184278599917889,0.13155758380889893,0.010218977928161621,0.009367469698190689,21,32,0.5919710397720337,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.23227602243423462,0.03950456529855728,0.012601971626281738,3.3295440673828125,0.49603742361068726,0.1799251288175583,9.21395492553711,0.7464439868927002,0.6566452383995056,40,64,13.327066421508789,26,53,0.4000000059604645,1.0,65.0,0.4000000059604645
4,1.000154733657837,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.0873401015996933,0.017648205161094666,0.004810006357729435,0.400391161441803,0.031375229358673096,0.020517965778708458,0.12219938635826111,0.010301291942596436,0.00854696799069643,23,37,0.6302194595336914,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.13365362584590912,0.02475355565547943,0.007302075624465942,1.4848175048828125,0.30068397521972656,0.0824555903673172,7.730933666229248,0.7103513479232788,0.5503586530685425,45,64,9.695425033569336,28,53,0.20000000298023224,1.0,65.0,0.20000000298023224
5,1.000232219696045,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.1970457136631012,0.029007434844970703,0.010575358755886555,0.20724546909332275,0.027077555656433105,0.011280211620032787,0.12278509140014648,0.00964808464050293,0.008772301487624645,20,28,0.5649186968803406,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.33847564458847046,0.046409573405981064,0.018061107024550438,4.963592529296875,0.5827951431274414,0.2637689411640167,9.671941757202148,0.7500182390213013,0.6898914575576782,37,64,15.610031127929688,24,57,0.6000000238418579,1.0,65.0,0.6000000238418579
6,0.9999876618385315,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.16201329231262207,0.029888659715652466,0.008849677629768848,0.3083038926124573,0.03376483917236328,0.01651960425078869,0.11259272694587708,0.011732935905456543,0.008084682747721672,21,32,0.6260429620742798,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.266975998878479,0.04437427967786789,0.014458713121712208,4.826290130615234,0.6876587867736816,0.25965720415115356,13.389572143554688,1.121150255203247,0.9543856978416443,40,64,19.23759651184082,25,49,-0.4000000059604645,-1.0,65.0,0.4000000059604645
7,1.0014623403549194,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.21015281975269318,0.031537771224975586,0.011277962476015091,0.2430596947669983,0.02817356586456299,0.01313058752566576,0.10196733474731445,0.010168790817260742,0.007332464214414358,20,28,0.5954208374023438,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.37509262561798096,0.0500476099550724,0.019921710714697838,7.228043079376221,0.8172030448913574,0.38277462124824524,14.427358627319336,1.1638309955596924,1.0289863348007202,36,64,22.906871795654297,24,58,-0.800000011920929,-1.0,65.0,0.800000011920929
8,1.0002301931381226,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.209415465593338,0.029675394296646118,0.011174683459103107,0.2364712953567505,0.02470916509628296,0.012707787565886974,0.10130518674850464,0.009911656379699707,0.007284263614565134,20,28,0.5841085910797119,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.3868062198162079,0.05048808082938194,0.02046963758766651,7.576464653015137,0.8301637172698975,0.40042179822921753,14.512332916259766,1.1663373708724976,1.0351229906082153,36,64,23.361572265625,23,58,-0.800000011920929,-1.0,65.0,0.800000011920929
9,0.9974713921546936,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.12514007091522217,0.025968164205551147,0.00690800417214632,0.3038942217826843,0.03188973665237427,0.016131389886140823,0.13294342160224915,0.010285139083862305,0.009454854764044285,22,33,0.5987388491630554,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.21583589911460876,0.03842640668153763,0.01175301056355238,3.1116836071014404,0.4800976514816284,0.16861847043037415,9.123835563659668,0.7457016706466675,0.6501274108886719,40,64,12.98655891418457,26,52,0.4000000059604645,1.0,65.0,0.4000000059604645
