experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,0,1.1002267599105835,0.6013003587722778,34.5325927734375,0.05134314298629761,0.016108812764286995,0.9308558106422424,0.4190361201763153,0.15958422422409058,9.046634674072266,14
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,1,1.11238431930542,0.6022956967353821,34.59778594970703,0.05743908882141113,0.014875441789627075,0.8611321449279785,0.5549363493919373,0.22585533559322357,12.838666915893555,15
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,2,1.3579858541488647,0.6384305357933044,36.34998321533203,0.10735264420509338,0.04222247377038002,2.4310333728790283,0.9696193933486938,0.33403724431991577,18.89985466003418,22
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,3,0.8110837340354919,0.44612643122673035,25.56097412109375,0.02694469690322876,0.011299402453005314,0.6457370519638062,0.4085501730442047,0.12217634171247482,6.886411190032959,16
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,4,1.2624998092651367,0.549526572227478,31.24128532409668,0.11134353280067444,0.04219967871904373,2.4351253509521484,0.2552182972431183,0.0754273384809494,4.33057975769043,26
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,5,0.9438880681991577,0.5433063507080078,31.04775619506836,0.08325543999671936,0.032115817070007324,1.8564165830612183,0.17008307576179504,0.05773692578077316,3.263700485229492,17
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,6,1.348032832145691,0.661273717880249,37.679847717285156,0.11171776056289673,0.03507939726114273,2.0239500999450684,1.3059303760528564,0.4313104748725891,24.366077423095703,21
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,7,0.8318020105361938,0.4573626220226288,26.195384979248047,0.03476589918136597,0.021269481629133224,1.2192926406860352,0.07674956321716309,0.031148917973041534,1.7682627439498901,17
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,8,1.0211021900177002,0.5410793423652649,31.0434513092041,0.039569854736328125,0.015317010693252087,0.8844865560531616,0.4471537172794342,0.14367321133613586,8.109567642211914,16
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,9,1.098976492881775,0.5889624953269958,33.8236198425293,0.05241751670837402,0.014621240086853504,0.8456324338912964,0.46210646629333496,0.17809486389160156,10.101126670837402,15
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,10,1.0571980476379395,0.5297055840492249,30.194326400756836,0.0822211503982544,0.034007541835308075,1.966167688369751,0.39059314131736755,0.11208329349756241,6.305533409118652,16
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,11,1.3418980836868286,0.6154493689537048,35.025115966796875,0.10841351747512817,0.04291144385933876,2.4731478691101074,0.6083549857139587,0.18991795182228088,10.713729858398438,23
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,12,1.3234517574310303,0.54493248462677,30.944355010986328,0.10566115379333496,0.0433296263217926,2.4957661628723145,0.4584239721298218,0.11741612106561661,6.581212520599365,26
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,13,0.886979341506958,0.45984581112861633,26.329519271850586,0.029233455657958984,0.013301915489137173,0.7649747133255005,0.4012240767478943,0.1037503033876419,5.816906452178955,17
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,14,1.0476616621017456,0.6272105574607849,35.85438919067383,0.07574504613876343,0.02749411202967167,1.5910451412200928,0.3130406439304352,0.0708032101392746,3.950065851211548,14
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,15,0.964286744594574,0.5019216537475586,28.67019271850586,0.049353718757629395,0.015366323292255402,0.88912034034729,0.525222659111023,0.2252521812915802,13.057026863098145,22
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,16,0.8427394032478333,0.479278028011322,27.433847427368164,0.034015119075775146,0.0183242280036211,1.0484893321990967,0.20153477787971497,0.07073713093996048,4.008393287658691,17
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,17,1.0564155578613281,0.6385669708251953,36.5086669921875,0.0756179690361023,0.02599199302494526,1.5037174224853516,0.30549463629722595,0.07041352987289429,3.931236982345581,14
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,18,1.327307105064392,0.635131299495697,36.17395782470703,0.10600563883781433,0.04276661574840546,2.465320110321045,0.6195478439331055,0.2095891237258911,11.851655006408691,21
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,19,0.8488377928733826,0.5177459120750427,29.6896915435791,0.04178699851036072,0.021228691563010216,1.2165602445602417,0.3076864778995514,0.1268668919801712,7.216501712799072,15
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,20,1.2655757665634155,0.6892181634902954,39.34186553955078,0.1059269905090332,0.03144637495279312,1.8136045932769775,0.32512253522872925,0.11837832629680634,6.729177474975586,20
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,21,1.254105567932129,0.5200506448745728,29.535888671875,0.1038830578327179,0.04241887852549553,2.4456045627593994,0.2629057765007019,0.09460465610027313,5.451206684112549,27
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,22,1.365045189857483,0.5122364163398743,29.027189254760742,0.04586511850357056,0.02625415474176407,1.5079619884490967,0.6095429062843323,0.21156401932239532,11.965940475463867,25
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,23,0.9491870403289795,0.35870635509490967,20.330373764038086,0.013372361660003662,0.005554021801799536,0.3200613558292389,0.3471866846084595,0.15223105251789093,8.783402442932129,29
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,24,0.9334800243377686,0.48133593797683716,27.492341995239258,0.04839316010475159,0.018559260293841362,1.0712406635284424,0.6276222467422485,0.29055216908454895,16.792133331298828,22
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,25,1.257438063621521,0.6091781258583069,34.703617095947266,0.09023177623748779,0.03474107384681702,2.0047600269317627,0.12298857420682907,0.03346102684736252,1.936031699180603,22
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,26,1.1140812635421753,0.5983611941337585,34.365333557128906,0.0557900071144104,0.014898484572768211,0.8612703084945679,0.42736175656318665,0.1678980588912964,9.525171279907227,14
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,27,1.1282448768615723,0.43519556522369385,24.677217483520508,0.07622277736663818,0.03723327815532684,2.1424615383148193,0.5035548806190491,0.16549289226531982,9.346808433532715,16
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,28,1.0977309942245483,0.5751079320907593,33.02663040161133,0.05423802137374878,0.014201637357473373,0.8224934935569763,0.5223954319953918,0.19761042296886444,11.208430290222168,15
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,29,0.9795736074447632,0.4565886855125427,25.994537353515625,0.08283236622810364,0.03839360177516937,2.216207504272461,0.33034244179725647,0.10928760468959808,6.173510551452637,20
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,30,1.029166340827942,0.5397277474403381,30.969226837158203,0.04165196418762207,0.014252999797463417,0.8241888284683228,0.4782029092311859,0.15576820075511932,8.79641342163086,16
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,31,0.876806378364563,0.5290015935897827,30.33180809020996,0.04416769742965698,0.018429186195135117,1.0553154945373535,0.44699305295944214,0.1810058206319809,10.299407958984375,15
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,32,1.0510751008987427,0.6376544237136841,36.45841598510742,0.07704174518585205,0.025848502293229103,1.4956283569335938,0.3030298054218292,0.06612978130578995,3.6840124130249023,14
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,33,1.3562983274459839,0.6593301296234131,37.56300354003906,0.10862097144126892,0.042835038155317307,2.467761993408203,0.8368544578552246,0.30496451258659363,17.28022575378418,21
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,34,1.1220486164093018,0.45107609033584595,25.60139274597168,0.07622426748275757,0.03783298656344414,2.1772966384887695,0.5093390345573425,0.16252915561199188,9.172021865844727,15
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,35,0.7670798897743225,0.4049036502838135,23.153656005859375,0.02542698383331299,0.010697522200644016,0.6117815375328064,0.36339884996414185,0.08441179245710373,4.714184284210205,17
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,36,1.3670707941055298,0.6336502432823181,36.06817626953125,0.11113610863685608,0.0429731160402298,2.475452423095703,0.7949085235595703,0.26026859879493713,14.702285766601562,23
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,37,1.2762655019760132,0.6427962779998779,36.64405059814453,0.0880056619644165,0.03279867395758629,1.8911607265472412,0.18449029326438904,0.047839872539043427,2.7743568420410156,21
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,38,0.9267996549606323,0.4716474413871765,27.025096893310547,0.03030496835708618,0.011424046009778976,0.6613872051239014,0.566845178604126,0.14465168118476868,8.106375694274902,17
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,39,1.1279844045639038,0.6070293188095093,34.86924743652344,0.06009483337402344,0.015297713689506054,0.8844494819641113,0.42545729875564575,0.17415550351142883,9.889249801635742,14
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,40,1.0404243469238281,0.5331663489341736,30.403432846069336,0.09232348203659058,0.034796878695487976,2.0124340057373047,0.24102547764778137,0.07218271493911743,4.066084861755371,16
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,41,1.2730768918991089,0.4878816604614258,27.660598754882812,0.08957237005233765,0.03961706906557083,2.282047986984253,0.07005107402801514,0.02159658819437027,1.2462072372436523,28
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,42,1.0506482124328613,0.6235231161117554,35.63901901245117,0.07608997821807861,0.027682160958647728,1.6018004417419434,0.3165430724620819,0.0735727995634079,4.108951091766357,14
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,43,1.0019817352294922,0.4620550274848938,26.35794448852539,0.047232091426849365,0.01737157255411148,1.0074673891067505,0.742475152015686,0.33452677726745605,19.284482955932617,26
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,44,1.0843517780303955,0.48556381464004517,27.620519638061523,0.09392869472503662,0.03891415148973465,2.246279239654541,0.262246698141098,0.08749132603406906,4.943373203277588,18
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,45,1.0330992937088013,0.6027446389198303,34.4426383972168,0.08088797330856323,0.02845592051744461,1.647201657295227,0.30660566687583923,0.07214575260877609,4.0311503410339355,14
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,46,1.0795848369598389,0.5968206524848938,34.075801849365234,0.06901782751083374,0.029945792630314827,1.7309116125106812,0.35624584555625916,0.10230571776628494,5.755609035491943,14
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,47,0.7799609303474426,0.4167000651359558,23.806447982788086,0.02762138843536377,0.013493075035512447,0.7687876224517822,0.16722044348716736,0.05079670995473862,2.863077163696289,18
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,48,0.9930254817008972,0.4697354733943939,26.804643630981445,0.05153176188468933,0.019532429054379463,1.1306242942810059,0.7873059511184692,0.358910471200943,20.686323165893555,25
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,49,0.8453400135040283,0.4337518513202667,24.83847427368164,0.04713869094848633,0.023115770891308784,1.3268330097198486,0.14941948652267456,0.051899783313274384,3.008035182952881,19
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,50,0.8382332921028137,0.48121583461761475,27.565826416015625,0.03567326068878174,0.02016402594745159,1.1549845933914185,0.17498576641082764,0.06398288160562515,3.626997470855713,17
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,51,1.3462425470352173,0.6063022613525391,34.492408752441406,0.10797914862632751,0.04286625608801842,2.469160556793213,0.7541643381118774,0.23720988631248474,13.385473251342773,23
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,52,1.1105191707611084,0.47764185070991516,27.147972106933594,0.0813400149345398,0.03565174713730812,2.0569403171539307,0.4444029629230499,0.15089529752731323,8.529726028442383,16
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,53,1.0003886222839355,0.5130738019943237,29.30027961730957,0.04824337363243103,0.013122604228556156,0.7607400417327881,0.4647527039051056,0.18553371727466583,10.740704536437988,22
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,54,1.006639003753662,0.4721318483352661,26.933900833129883,0.04403728246688843,0.013784526847302914,0.7975315451622009,0.5828632116317749,0.2449485957622528,14.174040794372559,25
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,55,1.052255392074585,0.6044124364852905,34.52979278564453,0.07730960845947266,0.028518224135041237,1.6500122547149658,0.326506644487381,0.07981442660093307,4.4659833908081055,15
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,56,1.3660775423049927,0.4164082705974579,23.468639373779297,0.041062891483306885,0.019818449392914772,1.1315340995788574,0.7923787832260132,0.20648182928562164,11.579757690429688,28
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,57,1.132053017616272,0.5811507105827332,33.14071273803711,0.04361066222190857,0.01246326882392168,0.7135434150695801,0.22704635560512543,0.07234541326761246,4.163450717926025,20
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,58,1.0706731081008911,0.4718227982521057,26.86467170715332,0.039867281913757324,0.012491048313677311,0.7218626737594604,0.48883479833602905,0.20273064076900482,11.722476959228516,26
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,59,1.0031864643096924,0.5109466314315796,29.178890228271484,0.04671087861061096,0.013070357032120228,0.7577947378158569,0.4610375761985779,0.18626311421394348,10.787580490112305,22
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,60,1.3139041662216187,0.5252338647842407,29.806608200073242,0.10724720358848572,0.04300905764102936,2.4783713817596436,0.17118091881275177,0.05089921876788139,2.9126665592193604,27
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,61,1.0423195362091064,0.5237699151039124,29.857498168945312,0.08603310585021973,0.03526443988084793,2.039669990539551,0.34174779057502747,0.09529261291027069,5.35609769821167,16
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,62,1.023498773574829,0.552978515625,31.619535446166992,0.04675191640853882,0.012126796878874302,0.7006214261054993,0.26878467202186584,0.09531339257955551,5.487447261810303,20
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,63,1.1162999868392944,0.4830467104911804,27.458560943603516,0.07982587814331055,0.034683119505643845,2.001129627227783,0.431422621011734,0.1532236486673355,8.67126178741455,16
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,64,1.1040207147598267,0.5916411876678467,33.98051071166992,0.05485421419143677,0.014650017023086548,0.8476881980895996,0.4809006452560425,0.1888478398323059,10.717697143554688,15
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,65,0.935023307800293,0.4822486340999603,27.628324508666992,0.032008230686187744,0.013673719018697739,0.7880598306655884,0.4159969091415405,0.11348100006580353,6.373899459838867,17
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,66,0.8520150184631348,0.5109492540359497,29.290008544921875,0.04107367992401123,0.02118050679564476,1.2137420177459717,0.27060213685035706,0.10769624263048172,6.120243072509766,15
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,67,1.3067902326583862,0.6014994978904724,34.23358154296875,0.11081001162528992,0.04254380613565445,2.453660249710083,0.3951473534107208,0.11393292248249054,6.410536766052246,24
context__gated__seed1,ContextDependentDecisionTask,TwoRegionGatedRNN,1,0,68,1.0717072486877441,0.5656562447547913,32.272212982177734,0.07687175273895264,0.03130866214632988,1.8100554943084717,0.3645760118961334,0.10645291209220886,5.991981029510498,15
