step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,1.185416340827942,0.015625,1.185415506362915,6.69939879571757e-07,1.643179956545282e-07,0.0
2,1.0134482383728027,0.0625,1.0134474039077759,6.585441383322177e-07,1.6425279625309486e-07,0.0
3,0.8756201267242432,1.0,0.8756192326545715,6.886423875585024e-07,1.6420845838638343e-07,0.0
4,0.7536163926124573,1.0,0.7536155581474304,6.400632628356107e-07,1.6420557358287624e-07,0.0
5,0.6069701313972473,1.0,0.6069691777229309,7.68617894664203e-07,1.6423493320871785e-07,0.0
6,0.5121393203735352,1.0,0.512138307094574,8.332787615472625e-07,1.6429554250407818e-07,0.0
7,0.41602563858032227,1.0,0.4160245358943939,9.20936429338326e-07,1.643815608076693e-07,0.0
8,0.3422119617462158,1.0,0.3422107696533203,1.0125827429874334e-06,1.644915954557291e-07,0.0
9,0.3133057951927185,1.0,0.31330472230911255,9.081896905627218e-07,1.6462401219996536e-07,0.0
10,0.20585060119628906,1.0,0.20584917068481445,1.2696658586719423e-06,1.6478551856380363e-07,0.0
11,0.22144512832164764,1.0,0.22144368290901184,1.276241277992085e-06,1.6496258581355505e-07,0.0
12,0.19964298605918884,1.0,0.1996411681175232,1.648356374062132e-06,1.6513638456672197e-07,0.0
13,0.2082361876964569,1.0,0.20823436975479126,1.6467715795442928e-06,1.6524901980119466e-07,0.0
14,0.2429923713207245,1.0,0.24299019575119019,2.0076367945875973e-06,1.652929881856835e-07,0.0
15,0.2374868094921112,1.0,0.237484872341156,1.779755166353425e-06,1.6525834212188784e-07,0.0
16,0.2111830711364746,1.0,0.21118107438087463,1.8368333485341282e-06,1.6516980849701213e-07,0.0
17,0.24964115023612976,1.0,0.24963924288749695,1.7456262639825582e-06,1.6504083077961695e-07,0.0
18,0.22489851713180542,1.0,0.2248968929052353,1.4540522670358769e-06,1.6487258847064368e-07,0.0
19,0.20223373174667358,1.0,0.20223219692707062,1.3713956832361873e-06,1.646903200480665e-07,0.0
20,0.19156424701213837,1.0,0.1915627419948578,1.346918224953697e-06,1.6451100748327008e-07,0.0
21,0.1684415340423584,1.0,0.16843990981578827,1.4668618177893222e-06,1.6434421468147775e-07,0.0
22,0.11604258418083191,1.0,0.11604105681180954,1.365647449347307e-06,1.6418660209183145e-07,0.0
23,0.1744152456521988,1.0,0.17441371083259583,1.3681111568075721e-06,1.6405608960212703e-07,0.0
24,0.2005668729543686,1.0,0.20056548714637756,1.2153255966040888e-06,1.6394648127970868e-07,0.0
25,0.17183516919612885,1.0,0.17183372378349304,1.2770514103976893e-06,1.6386618995056779e-07,0.0
26,0.1916673183441162,1.0,0.19166581332683563,1.3418350590654882e-06,1.6381223133521416e-07,0.0
27,0.1545441597700119,1.0,0.15454261004924774,1.3804082072965684e-06,1.6377302358705492e-07,0.0
28,0.17027969658374786,1.0,0.17027810215950012,1.4304272326626233e-06,1.6374919198369753e-07,0.0
29,0.18267180025577545,1.0,0.18267029523849487,1.3395448377195862e-06,1.637324231751336e-07,0.0
30,0.16949965059757233,1.0,0.1694982349872589,1.244655436494213e-06,1.6372872835290764e-07,0.0
31,0.22340160608291626,1.0,0.22340017557144165,1.2660636912187329e-06,1.637401823018081e-07,0.0
32,0.21686208248138428,1.0,0.2168605476617813,1.3659491742146201e-06,1.6375632583276456e-07,0.0
33,0.14964190125465393,1.0,0.14964012801647186,1.6094800230348483e-06,1.6376988298816286e-07,0.0
34,0.17438191175460815,1.0,0.1743803322315216,1.4176914646668592e-06,1.6376714029320283e-07,0.0
35,0.15946640074253082,1.0,0.15946480631828308,1.4358482758325408e-06,1.6376125699935073e-07,0.0
36,0.18891340494155884,1.0,0.18891149759292603,1.7440167994209332e-06,1.637537536680611e-07,0.0
37,0.14436499774456024,1.0,0.14436323940753937,1.5893168665570556e-06,1.637155975231508e-07,0.0
38,0.1848420649766922,1.0,0.18484042584896088,1.4742275880053057e-06,1.6366449528959492e-07,0.0
39,0.14719358086585999,1.0,0.14719180762767792,1.6133093367898255e-06,1.6360870347398304e-07,0.0
40,0.15872152149677277,1.0,0.15871970355510712,1.6576818779867608e-06,1.6354485410374764e-07,0.0
41,0.17425701022148132,1.0,0.17425531148910522,1.5278201317414641e-06,1.6347121345461346e-07,0.0
42,0.12371503561735153,1.0,0.12371301651000977,1.8519282320994535e-06,1.6339970443368657e-07,0.0
43,0.14884723722934723,1.0,0.14884528517723083,1.7838397070590872e-06,1.63315704071465e-07,0.0
44,0.16523277759552002,1.0,0.16523103415966034,1.573528720655304e-06,1.632246551253047e-07,0.0
45,0.14363333582878113,1.0,0.14363154768943787,1.6308958947774954e-06,1.631447332783864e-07,0.0
