step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,1.2075196504592896,0.109375,1.207518458366394,1.0753902870419552e-06,1.4006693049850583e-07,0.0
2,0.9769601821899414,0.546875,0.9769591093063354,9.80389017968264e-07,1.4000423220750235e-07,0.0
3,0.7874482870101929,1.0,0.7874470353126526,1.1435182614150108e-06,1.3996815084738046e-07,0.0
4,0.6113032102584839,1.0,0.6113017797470093,1.2983274473299389e-06,1.3995948222600418e-07,0.0
5,0.510655403137207,1.0,0.5106541514396667,1.1275380984443473e-06,1.399903339915909e-07,0.0
6,0.4033450186252594,1.0,0.40334370732307434,1.1687662890835782e-06,1.400483853331025e-07,0.0
7,0.3046934902667999,1.0,0.30469200015068054,1.3450411415760755e-06,1.4014288751695858e-07,0.0
8,0.21463339030742645,1.0,0.21463164687156677,1.6060649841165286e-06,1.4027334316324414e-07,0.0
9,0.2446454018354416,1.0,0.24464379251003265,1.4787144664296648e-06,1.404249303504912e-07,0.0
10,0.19217906892299652,1.0,0.19217687845230103,2.057361825791304e-06,1.4058518615911453e-07,0.0
11,0.20097170770168304,1.0,0.20096935331821442,2.213412471974152e-06,1.4067398979022983e-07,0.0
12,0.23506025969982147,1.0,0.23505766689777374,2.460278665239457e-06,1.406571357165376e-07,0.0
13,0.2740565836429596,1.0,0.27405405044555664,2.3754830635880353e-06,1.4058223030133377e-07,0.0
14,0.1924239695072174,1.0,0.19242170453071594,2.1248381472105393e-06,1.4046534602130123e-07,0.0
15,0.23484957218170166,1.0,0.2348470538854599,2.3878230877016904e-06,1.4029973272045027e-07,0.0
16,0.20537102222442627,1.0,0.2053688019514084,2.083679191855481e-06,1.4009796700520383e-07,0.0
17,0.17231659591197968,1.0,0.1723143607378006,2.102959570038365e-06,1.3986380054120673e-07,0.0
18,0.1857239156961441,1.0,0.18572235107421875,1.4357123063746258e-06,1.3961364686565503e-07,0.0
19,0.1512465626001358,1.0,0.15124472975730896,1.6960281072897487e-06,1.3939140330876398e-07,0.0
20,0.16567708551883698,1.0,0.16567547619342804,1.474394139222568e-06,1.391921244930927e-07,0.0
21,0.18121515214443207,1.0,0.1812136471271515,1.3708337291973294e-06,1.3902378270813642e-07,0.0
22,0.1673484891653061,1.0,0.16734689474105835,1.4641403822679422e-06,1.3889656713672593e-07,0.0
23,0.24395419657230377,1.0,0.24395275115966797,1.3169025123715983e-06,1.388023065374e-07,0.0
24,0.24492141604423523,1.0,0.24492010474205017,1.1774433232858428e-06,1.3872656268176797e-07,0.0
25,0.14133532345294952,1.0,0.14133360981941223,1.5852491515033762e-06,1.3868861969967838e-07,0.0
26,0.16059163212776184,1.0,0.16058985888957977,1.637793616282579e-06,1.3867332882000483e-07,0.0
27,0.173106849193573,1.0,0.17310504615306854,1.6749610267652315e-06,1.3866032588794042e-07,0.0
28,0.16385671496391296,1.0,0.16385510563850403,1.4804617194386083e-06,1.386497530120323e-07,0.0
29,0.17755278944969177,1.0,0.1775512993335724,1.3545196679842775e-06,1.3865307835203566e-07,0.0
30,0.17471373081207275,1.0,0.1747119277715683,1.675963403613423e-06,1.386711545592334e-07,0.0
31,0.19896487891674042,1.0,0.1989627629518509,1.9802882889052853e-06,1.3867641257547803e-07,0.0
32,0.15537630021572113,1.0,0.1553744673728943,1.7027579133355175e-06,1.386422781024521e-07,0.0
33,0.1614294797182083,1.0,0.16142763197422028,1.7137206214101752e-06,1.3859659020454274e-07,0.0
34,0.15246053040027618,1.0,0.1524581015110016,2.290692918904824e-06,1.3853639302396914e-07,0.0
35,0.15518975257873535,1.0,0.15518753230571747,2.0828310880460776e-06,1.38428021045911e-07,0.0
36,0.16336049139499664,1.0,0.1633584201335907,1.929828385982546e-06,1.3829203737714124e-07,0.0
37,0.1905556619167328,1.0,0.1905539184808731,1.6074109225883149e-06,1.38144301331522e-07,0.0
38,0.1691831350326538,1.0,0.16918165981769562,1.3369857470024726e-06,1.380072660595033e-07,0.0
39,0.1615837812423706,1.0,0.16158196330070496,1.6901913113542832e-06,1.379019920477731e-07,0.0
40,0.17071408033370972,1.0,0.17071212828159332,1.815190444176551e-06,1.378104741434072e-07,0.0
41,0.17531074583530426,1.0,0.17530889809131622,1.7170507362607168e-06,1.377185867568187e-07,0.0
42,0.18255242705345154,1.0,0.18255093693733215,1.35727441374911e-06,1.3763737172212132e-07,0.0
43,0.16745710372924805,1.0,0.16745522618293762,1.7409611245966516e-06,1.3758339889591298e-07,0.0
44,0.15757569670677185,1.0,0.1575736254453659,1.944537871167995e-06,1.3753465566423984e-07,0.0
45,0.13283464312553406,1.0,0.13283251225948334,2.0011921151308343e-06,1.3748753247000423e-07,0.0
46,0.18513156473636627,1.0,0.18512967228889465,1.7545405626151478e-06,1.3743523652465228e-07,0.0
47,0.16590583324432373,1.0,0.16590391099452972,1.7925524389283964e-06,1.373887101863147e-07,0.0
48,0.1436055451631546,1.0,0.1436033993959427,2.01829038815049e-06,1.3734945980559132e-07,0.0
49,0.15956062078475952,1.0,0.15955857932567596,1.9084677660430316e-06,1.3730586090332508e-07,0.0
50,0.15069560706615448,1.0,0.15069349110126495,1.9747644728340674e-06,1.3726173619943438e-07,0.0
51,0.18544988334178925,1.0,0.18544761836528778,2.1247290078463266e-06,1.3721044922476722e-07,0.0
52,0.14831683039665222,1.0,0.14831456542015076,2.1319199277058942e-06,1.3714441138290567e-07,0.0
53,0.15306471288204193,1.0,0.1530623435974121,2.23498000195832e-06,1.3706967649795843e-07,0.0
54,0.12158944457769394,1.0,0.12158723175525665,2.076308646792313e-06,1.3698446821308607e-07,0.0
55,0.16382038593292236,1.0,0.16381804645061493,2.2037468170310603e-06,1.3690532796317711e-07,0.0
56,0.14500905573368073,1.0,0.14500637352466583,2.5539350190229015e-06,1.3682326027719682e-07,0.0
57,0.17046843469142914,1.0,0.17046622931957245,2.069377160296426e-06,1.3672567433786753e-07,0.0
58,0.1869352161884308,1.0,0.1869329959154129,2.0814602521568304e-06,1.366400113056443e-07,0.0
59,0.12469179183244705,1.0,0.12468920648097992,2.448519353492884e-06,1.3656381270266138e-07,0.0
60,0.1352475881576538,1.0,0.13524498045444489,2.466696059855167e-06,1.364883956966878e-07,0.0
61,0.1664375215768814,1.0,0.16643521189689636,2.176978796342155e-06,1.3642022622661898e-07,0.0
62,0.1384166181087494,1.0,0.1384141594171524,2.320822204637807e-06,1.3636534390570887e-07,0.0
63,0.13435202836990356,1.0,0.13434915244579315,2.735622047111974e-06,1.3632337925173488e-07,0.0
64,0.16772527992725372,1.0,0.16772237420082092,2.776100473056431e-06,1.362779613600651e-07,0.0
65,0.17250987887382507,1.0,0.1725068986415863,2.8409010610630503e-06,1.3622772598864685e-07,0.0
66,0.11649952083826065,1.0,0.11649644374847412,2.9436807835736545e-06,1.3617098204576905e-07,0.0
67,0.1327509582042694,1.0,0.13274788856506348,2.933807536464883e-06,1.3611396809665166e-07,0.0
68,0.15641051530838013,1.0,0.15640763938426971,2.7417815999797313e-06,1.360537140726592e-07,0.0
69,0.14604146778583527,1.0,0.14603827893733978,3.0574794891435886e-06,1.3600123338619596e-07,0.0
70,0.1340986043214798,1.0,0.1340954452753067,3.026020522156614e-06,1.359556449642696e-07,0.0
71,0.12060032039880753,1.0,0.12059652805328369,3.655859018181218e-06,1.359186256877365e-07,0.0
72,0.1333107352256775,1.0,0.13330695033073425,3.6564986203302396e-06,1.3587229830136494e-07,0.0
73,0.13657043874263763,1.0,0.1365669071674347,3.4047013741655974e-06,1.3582615565610467e-07,0.0
74,0.12364710867404938,1.0,0.12364333122968674,3.6464973618421936e-06,1.3579024482623936e-07,0.0
75,0.13619011640548706,1.0,0.1361863613128662,3.617210495576728e-06,1.357564372028719e-07,0.0
76,0.11170848459005356,1.0,0.1117040365934372,4.316570084483828e-06,1.3572800128258677e-07,0.0
77,0.12323539704084396,1.0,0.12323150783777237,3.7516224438149948e-06,1.3569678003477748e-07,0.0
78,0.11921083927154541,1.0,0.11920634657144547,4.359573722467758e-06,1.35678291712793e-07,0.0
79,0.12052447348833084,1.0,0.12051965296268463,4.68842199552455e-06,1.3566338452619675e-07,0.0
80,0.12550315260887146,1.0,0.12549765408039093,5.370783128455514e-06,1.356468857238724e-07,0.0
81,0.12011968344449997,1.0,0.1201150044798851,4.544284820440225e-06,1.356268768404334e-07,0.0
82,0.16010849177837372,1.0,0.16010433435440063,4.023767360195052e-06,1.3561661660332902e-07,0.0
83,0.1289016455411911,1.0,0.1288967728614807,4.733765763376141e-06,1.3561879086410045e-07,0.0
84,0.11961924284696579,1.0,0.1196126788854599,6.42938766759471e-06,1.3563038692154805e-07,0.0
85,0.0770924910902977,1.0,0.07708623260259628,6.1258201640157495e-06,1.3564415723976708e-07,0.0
86,0.09359262138605118,1.0,0.09358515590429306,7.334606834774604e-06,1.356604428792707e-07,0.0
87,0.08149711787700653,1.0,0.08148897439241409,8.010400961211417e-06,1.3567812118253642e-07,0.0
88,0.10351508855819702,1.0,0.10350862145423889,6.333760666166199e-06,1.356967942456322e-07,0.0
89,0.06647449731826782,1.0,0.06646683812141418,7.5285106504452415e-06,1.35720554794716e-07,0.0
90,0.05021532252430916,1.0,0.050206832587718964,8.356699254363775e-06,1.3574528168192046e-07,0.0
91,0.07180560380220413,1.0,0.07179760932922363,7.85911652201321e-06,1.3576851642937982e-07,0.0
92,0.06328902393579483,1.0,0.0632796585559845,9.230022442352492e-06,1.3579061430846195e-07,0.0
93,0.04185708239674568,1.0,0.04184657707810402,1.036996218317654e-05,1.3581427538156277e-07,0.0
94,0.04544353485107422,1.0,0.045432474464178085,1.0926504728558939e-05,1.3583493796431867e-07,0.0
95,0.052045904099941254,1.0,0.05203516408801079,1.0604519957269076e-05,1.358502998982658e-07,0.0
96,0.04854663088917732,1.0,0.04853534325957298,1.1154383173561655e-05,1.358640275839207e-07,0.0
97,0.03970624506473541,1.0,0.039693839848041534,1.2271881132619455e-05,1.358716161803386e-07,0.0
98,0.04183896631002426,1.0,0.041825827211141586,1.3005222172068898e-05,1.3586914349161816e-07,0.0
99,0.03701149299740791,1.0,0.036998167634010315,1.319048988079885e-05,1.3585979274921556e-07,0.0
100,0.04068500176072121,1.0,0.04067306965589523,1.1797956176451407e-05,1.3584315183834406e-07,0.0
101,0.03067132830619812,1.0,0.03065737523138523,1.381622496410273e-05,1.3582791780208936e-07,0.0
102,0.03325451910495758,1.0,0.03323933109641075,1.5052845810714643e-05,1.3581366431481e-07,0.0
103,0.025774486362934113,1.0,0.025760149583220482,1.4201478734321427e-05,1.358070988999316e-07,0.0
104,0.02522617019712925,1.0,0.025209659710526466,1.637425521039404e-05,1.3580441304839042e-07,0.0
105,0.02756296470761299,1.0,0.027545852586627007,1.6976478946162388e-05,1.3580324775830377e-07,0.0
106,0.027734223753213882,1.0,0.027717260643839836,1.682696347415913e-05,1.3579708024735737e-07,0.0
107,0.02516086772084236,1.0,0.025142841041088104,1.7891101379063912e-05,1.3578235780187242e-07,0.0
108,0.0302223302423954,0.984375,0.030204346403479576,1.784807136573363e-05,1.357616810082618e-07,0.0
109,0.016449740156531334,1.0,0.016429880633950233,1.9723340301425196e-05,1.3573655621712533e-07,0.0
110,0.016953743994235992,1.0,0.01693444885313511,1.915940265462268e-05,1.3571461465744505e-07,0.0
111,0.0194566510617733,1.0,0.019438574090600014,1.794038325897418e-05,1.356980163791377e-07,0.0
112,0.009809172712266445,1.0,0.009787976741790771,2.10602465813281e-05,1.3568826773280307e-07,0.0
113,0.010090971365571022,1.0,0.010069767944514751,2.1067069610580802e-05,1.3567890277954575e-07,0.0
114,0.008603476919233799,1.0,0.008581391535699368,2.1949568690615706e-05,1.356659566909002e-07,0.0
115,0.007168747019022703,1.0,0.007146584801375866,2.2026531951269135e-05,1.3564714151925727e-07,0.0
116,0.01499989815056324,1.0,0.014978017657995224,2.1744306650361978e-05,1.3562367939812248e-07,0.0
117,0.014770625159144402,1.0,0.014749088324606419,2.140088690794073e-05,1.3559899514348217e-07,0.0
118,0.02428543008863926,1.0,0.024264933541417122,2.0360939743113704e-05,1.3557620093251899e-07,0.0
119,0.011706777848303318,1.0,0.011685425415635109,2.1216237655607983e-05,1.3555590783198568e-07,0.0
120,0.006225872319191694,1.0,0.006202456541359425,2.3280343157239258e-05,1.355383574264124e-07,0.0
121,0.0027128690853714943,1.0,0.0026894647162407637,2.326878166059032e-05,1.355203949060524e-07,0.0
122,0.007115454412996769,1.0,0.007093061693012714,2.225717435067054e-05,1.3549878019603057e-07,0.0
123,0.004477746319025755,1.0,0.004454666282981634,2.294469959451817e-05,1.3547219168685842e-07,0.0
124,0.004653134383261204,1.0,0.004630123730748892,2.2875090508023277e-05,1.3544307364554697e-07,0.0
125,0.009090590290725231,1.0,0.009069300256669521,2.1155448848730884e-05,1.3541544774398062e-07,0.0
126,0.004372266121208668,1.0,0.0043487222865223885,2.3408456399920397e-05,1.3539191456857225e-07,0.0
127,0.003348692785948515,1.0,0.003323877463117242,2.4679984562681057e-05,1.353700866957297e-07,0.0
128,0.005482363048940897,1.0,0.005458197556436062,2.4029855921980925e-05,1.3534763354527968e-07,0.0
129,0.004360425751656294,1.0,0.004336714744567871,2.357569792366121e-05,1.3532273612781864e-07,0.0
130,0.008103745058178902,1.0,0.008078566752374172,2.5043585992534645e-05,1.3529425757496938e-07,0.0
131,0.01866888254880905,1.0,0.018645592033863068,2.315364508831408e-05,1.3526504005767492e-07,0.0
132,0.006069224327802658,1.0,0.006044750101864338,2.43392278207466e-05,1.3523926156722155e-07,0.0
133,0.005079527385532856,1.0,0.005055501591414213,2.3890965167083777e-05,1.3521628261514707e-07,0.0
134,0.005434092599898577,1.0,0.005409866571426392,2.4091015802696347e-05,1.351944405314498e-07,0.0
135,0.0037119605112820864,1.0,0.0036863943096250296,2.5430830646655522e-05,1.351714331576659e-07,0.0
136,0.0018553189001977444,1.0,0.001828760956414044,2.6422765586175956e-05,1.351447167508013e-07,0.0
137,0.0019205565331503749,1.0,0.0018948737997561693,2.5547587938490324e-05,1.3511453289538622e-07,0.0
138,0.006637435406446457,1.0,0.006612519267946482,2.4781063984846696e-05,1.350826437374053e-07,0.0
139,0.0021489320788532495,1.0,0.0021232892759144306,2.550768112996593e-05,1.350503993080565e-07,0.0
140,0.0030947390478104353,1.0,0.0030675504822283983,2.7053600206272677e-05,1.3501774276392098e-07,0.0
141,0.002347281202673912,1.0,0.0023205489851534367,2.6597219402901828e-05,1.3498350881491206e-07,0.0
142,0.002283029491081834,1.0,0.002257328713312745,2.556566869316157e-05,1.349464326949601e-07,0.0
143,0.004076853860169649,1.0,0.004052096512168646,2.462208431097679e-05,1.3490692651885183e-07,0.0
144,0.001862968085333705,1.0,0.001837132847867906,2.5700481273815967e-05,1.3486710770393984e-07,0.0
145,0.003999827895313501,1.0,0.003974986262619495,2.470647268637549e-05,1.3482751626270328e-07,0.0
146,0.0030703444499522448,1.0,0.0030451337806880474,2.5075751182157546e-05,1.347896727565967e-07,0.0
147,0.002494478365406394,1.0,0.0024686160031706095,2.5727658794494346e-05,1.3475248294980702e-07,0.0
148,0.0007938297931104898,1.0,0.0007645385921932757,2.915651748480741e-05,1.347148952390853e-07,0.0
149,0.00192452862393111,1.0,0.001897556590847671,2.6837395125767216e-05,1.3467520432186575e-07,0.0
150,0.0011882807593792677,1.0,0.0011613134993240237,2.6832525691133924e-05,1.3463548498293676e-07,0.0
151,0.00119931367225945,1.0,0.001172283198684454,2.6895850169239566e-05,1.3459658987358125e-07,0.0
152,0.0019268146716058254,1.0,0.0019005050417035818,2.617507561808452e-05,1.3455846215038036e-07,0.0
153,0.0009535813587717712,1.0,0.0009268781868740916,2.6568655812297948e-05,1.3451968072786258e-07,0.0
154,0.0011613784590736032,1.0,0.0011317956959828734,2.9448247005348094e-05,1.3447980506953172e-07,0.0
155,0.0010428221430629492,1.0,0.0010146169224753976,2.8070746338926256e-05,1.3443863622342178e-07,0.0
156,0.0021935252007097006,1.0,0.0021675070747733116,2.5883704438456334e-05,1.3439786528124387e-07,0.0
