difficulty,n,coupled_mean_abs_q,decoupled_mean_abs_q,decoupling_cost,relative_cost
0.2,62,0.4498,0.1494,0.3004,0.6678
0.4,69,0.8505,0.2904,0.5602,0.6586
0.6,65,1.2432,0.4355,0.8077,0.6497
0.8,60,1.5909,0.5759,1.0149,0.638
