difficulty,n,coupled_mean_abs_q,decoupled_mean_abs_q,decoupling_cost,relative_cost
0.2,73,0.9889,0.2873,0.7016,0.7095
0.4,58,1.0016,0.551,0.4506,0.4499
0.6,62,1.001,0.7694,0.2316,0.2314
0.8,63,1.0003,0.9101,0.0902,0.0902
