trial_id,final_abs_q,fixation_d_auc,fixation_d_peak,fixation_d_mean,stimulus_d_auc,stimulus_d_peak,stimulus_d_mean,response_d_auc,response_d_peak,response_d_mean,d_onset,d_peak_time,d_auc_total,fixation_m_auc,fixation_m_peak,fixation_m_mean,stimulus_m_auc,stimulus_m_peak,stimulus_m_mean,response_m_auc,response_m_peak,response_m_mean,m_onset,m_peak_time,m_auc_total,q_onset,q_peak_time,coherence,label,seq_len,difficulty
0,1.002921462059021,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.79808109998703,0.07119333744049072,0.03789752349257469,0.8537290692329407,0.07181167602539062,0.05693169683218002,13,32,1.7237238883972168,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,2.494025945663452,0.6257157325744629,0.12759116291999817,12.064615249633789,0.8653910160064697,0.7972698211669922,26,38,15.216202735900879,16,28,0.800000011920929,1.0,48.0,0.800000011920929
1,1.0011963844299316,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.6050146818161011,0.06045973300933838,0.028877826407551765,1.0273737907409668,0.0750657320022583,0.06819808483123779,14,35,1.6969761848449707,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,1.1420891284942627,0.3771347999572754,0.06048992648720741,12.627349853515625,0.9767813682556152,0.8343125581741333,29,46,14.192846298217773,18,30,-0.4000000059604645,-1.0,48.0,0.4000000059604645
2,0.9993658065795898,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.8009640574455261,0.07187068462371826,0.038043953478336334,0.9626296758651733,0.07262063026428223,0.06417785584926605,13,33,1.8362469673156738,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,2.533238172531128,0.6306853294372559,0.12948648631572723,12.734549522399902,0.9061670899391174,0.8417952656745911,26,39,15.932541847229004,16,27,-0.800000011920929,-1.0,48.0,0.800000011920929
3,1.0027635097503662,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.5502282977104187,0.05075180530548096,0.02609599381685257,0.9470036029815674,0.07358574867248535,0.06252412497997284,15,36,1.5508126020431519,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,0.820358157157898,0.287212073802948,0.04382210224866867,11.90534496307373,0.945827305316925,0.785163164138794,30,45,13.058890342712402,18,32,0.4000000059604645,1.0,48.0,0.4000000059604645
4,1.0031046867370605,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.7018969058990479,0.06747329235076904,0.0334409661591053,0.891703724861145,0.07270503044128418,0.05933583900332451,13,33,1.6633148193359375,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,1.7952650785446167,0.5232737064361572,0.09350108355283737,12.453996658325195,0.8979156613349915,0.8222126960754395,27,40,14.813175201416016,17,29,0.6000000238418579,1.0,48.0,0.6000000238418579
5,0.9976589679718018,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.8799532651901245,0.07206028699874878,0.041638679802417755,0.935399055480957,0.07165682315826416,0.06240847706794739,12,31,1.8876219987869263,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,3.2182044982910156,0.6979806423187256,0.16215074062347412,12.374823570251465,0.8860812783241272,0.8186427354812622,25,38,16.31890869140625,15,26,-0.800000011920929,-1.0,48.0,0.800000011920929
6,1.00244140625,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.8066250681877136,0.07054340839385986,0.038271114230155945,0.848900556564331,0.07096660137176514,0.05660071596503258,13,32,1.7266919612884521,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,2.5529112815856934,0.6298611760139465,0.13036197423934937,12.099244117736816,0.866975724697113,0.7996045351028442,26,38,15.312520980834961,16,28,0.800000011920929,1.0,48.0,0.800000011920929
7,0.9991222620010376,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.42058345675468445,0.04063016176223755,0.0194492619484663,0.9062705636024475,0.07484877109527588,0.058773573487997055,18,41,1.3346595764160156,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,0.45104435086250305,0.05611998587846756,0.020744042471051216,8.02831745147705,0.8915004730224609,0.5305523872375488,34,47,8.499934196472168,21,36,-0.20000000298023224,-1.0,48.0,0.20000000298023224
8,0.9976301193237305,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.856238603591919,0.07237190008163452,0.04056782275438309,0.9432432651519775,0.07179230451583862,0.06291438639163971,12,31,1.8719751834869385,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,2.9812729358673096,0.6789770126342773,0.15094922482967377,12.46275806427002,0.8903186917304993,0.8241783380508423,25,38,16.15084457397461,15,27,-0.800000011920929,-1.0,48.0,0.800000011920929
9,1.0030064582824707,0.00030318100471049547,8.082087151706219e-05,3.435914550209418e-05,0.4939967393875122,0.04274129867553711,0.023386120796203613,1.0319795608520508,0.07477647066116333,0.06810776889324188,14,37,1.5733458995819092,0.0003893432440236211,0.00017429795116186142,4.7649220505263656e-05,0.7135676145553589,0.20592045783996582,0.03712044656276703,11.157923698425293,0.9733296036720276,0.7368481755256653,31,47,12.120034217834473,18,33,-0.20000000298023224,-1.0,48.0,0.20000000298023224
