experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,0,0.6858019232749939,0.21655885875225067,10.308340072631836,0.07181167602539062,0.03635408356785774,1.7237238883972168,0.8653910160064697,0.3242458403110504,15.216202735900879,16
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,1,0.7577924728393555,0.3161936104297638,15.040257453918457,0.0750657320022583,0.03597551956772804,1.6969761848449707,0.9767813682556152,0.3058386743068695,14.192846298217773,17
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,2,0.7061808109283447,0.22819733619689941,10.912267684936523,0.07262063026428223,0.038836587220430374,1.8362469673156738,0.9061670899391174,0.3399563729763031,15.932541847229004,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,3,0.7408645749092102,0.28737741708755493,13.704131126403809,0.07358574867248535,0.032809194177389145,1.5508123636245728,0.945827305316925,0.28181612491607666,13.058890342712402,18
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,4,0.7057141065597534,0.23413006961345673,11.211165428161621,0.07270503044128418,0.03511287644505501,1.6633145809173584,0.8979156613349915,0.3169355094432831,14.813175201416016,16
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,5,0.6946726441383362,0.22097967565059662,10.529501914978027,0.07206028699874878,0.03989438712596893,1.8876222372055054,0.8860812783241272,0.3472099304199219,16.31890869140625,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,6,0.6920592784881592,0.22067569196224213,10.507609367370605,0.07096660137176514,0.036414984613657,1.7266919612884521,0.866975724697113,0.3262939751148224,15.312520027160645,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,7,0.8471118211746216,0.3679947853088379,17.304800033569336,0.07484877109527588,0.02851259522140026,1.3346595764160156,0.8915004730224609,0.1863684058189392,8.499934196472168,20
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,8,0.6961992383003235,0.22120346128940582,10.549001693725586,0.07237190008163452,0.03957220911979675,1.8719751834869385,0.8903186917304993,0.34392115473747253,16.15084457397461,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,9,0.8134996294975281,0.38314178586006165,18.108139038085938,0.07477647066116333,0.0334283821284771,1.5733458995819092,0.9733296036720276,0.26263952255249023,12.120034217834473,17
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,10,0.6872016787528992,0.22049099206924438,10.498955726623535,0.07168281078338623,0.037101585417985916,1.7598652839660645,0.8696672320365906,0.3342495262622833,15.6990327835083,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,11,0.7160898447036743,0.2481364756822586,11.908445358276367,0.0737428069114685,0.03858114406466484,1.8236793279647827,0.9280443787574768,0.3421846628189087,16.005538940429688,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,12,0.8042247295379639,0.3136955201625824,14.786625862121582,0.07385671138763428,0.02632744610309601,1.2333853244781494,0.910887598991394,0.16866625845432281,7.640536785125732,21
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,13,0.7159299850463867,0.24619267880916595,11.8117094039917,0.07319492101669312,0.03885244205594063,1.8368386030197144,0.9255866408348083,0.34496092796325684,16.144672393798828,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,14,0.692941427230835,0.22015632688999176,10.488726615905762,0.07163584232330322,0.03672434762120247,1.7415549755096436,0.870924711227417,0.3290553390979767,15.442052841186523,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,15,0.6944361925125122,0.22190183401107788,10.590078353881836,0.07215428352355957,0.0363246388733387,1.722113013267517,0.880997359752655,0.3268449008464813,15.320433616638184,16
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,16,0.6966912150382996,0.22247304022312164,10.613280296325684,0.07224047183990479,0.03955933079123497,1.8713483810424805,0.8929502367973328,0.3451617956161499,16.207468032836914,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,17,0.8183307647705078,0.3864801824092865,18.24977684020996,0.07485300302505493,0.03313123434782028,1.5588304996490479,0.9624323844909668,0.2539217174053192,11.707026481628418,17
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,18,0.7241909503936768,0.2591106593608856,12.419695854187012,0.0735769271850586,0.03802921250462532,1.7969175577163696,0.9355410933494568,0.3362349569797516,15.706381797790527,16
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,19,0.8131271600723267,0.34442469477653503,16.27593231201172,0.0734606385231018,0.028623824939131737,1.346297264099121,0.9523067474365234,0.21006236970424652,9.606840133666992,19
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,20,0.769713282585144,0.3074377477169037,14.554413795471191,0.07415753602981567,0.02960844896733761,1.3939807415008545,0.9592167139053345,0.2178647518157959,9.977900505065918,20
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,21,0.6939049363136292,0.22205768525600433,10.573631286621094,0.07107782363891602,0.03694156929850578,1.7521400451660156,0.8689629435539246,0.33224835991859436,15.601551055908203,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,22,0.6921011805534363,0.22025616466999054,10.495545387268066,0.07139945030212402,0.03604041785001755,1.7085113525390625,0.8713464736938477,0.32260796427726746,15.12722110748291,16
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,23,0.7940871715545654,0.16301022469997406,7.4274468421936035,0.03757917881011963,0.010283050127327442,0.4747968018054962,0.19882901012897491,0.017594946548342705,0.745142936706543,32
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,24,0.8303307294845581,0.3616306781768799,17.03458595275879,0.07500851154327393,0.029550718143582344,1.3850533962249756,0.9252094030380249,0.2033570408821106,9.29853343963623,19
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,25,0.8396909236907959,0.3802246153354645,17.906591415405273,0.07483148574829102,0.03033706545829773,1.4232025146484375,0.9192104935646057,0.21093352138996124,9.665205001831055,19
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,26,0.8301383256912231,0.35510459542274475,16.71282386779785,0.0750037431716919,0.028875505551695824,1.352224588394165,0.9116039276123047,0.19229735434055328,8.774471282958984,20
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,27,0.7644054889678955,0.3131163418292999,14.889067649841309,0.07374584674835205,0.03185654431581497,1.5043681859970093,0.9652470946311951,0.26808401942253113,12.38541030883789,18
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,28,0.7435911893844604,0.2997274696826935,14.274425506591797,0.0745694637298584,0.03372069075703621,1.5947802066802979,0.9542423486709595,0.28986799716949463,13.439502716064453,17
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,29,0.6958195567131042,0.21953751146793365,10.47132396697998,0.07231426239013672,0.03926388546824455,1.8570239543914795,0.8908492922782898,0.33969345688819885,15.944297790527344,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,30,0.6810821890830994,0.21820776164531708,10.37429428100586,0.07172060012817383,0.037151265889406204,1.7623801231384277,0.8588541150093079,0.3325645625591278,15.631251335144043,15
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,31,0.7386294603347778,0.282735675573349,13.480963706970215,0.07393598556518555,0.032750651240348816,1.5478200912475586,0.9443157315254211,0.27714043855667114,12.834686279296875,18
redundant__additive__seed2,RedundantInputControlTask,TwoRegionAdditiveRNN,2,0,32,0.719482958316803,0.2507200539112091,12.02291488647461,0.07376992702484131,0.03756362572312355,1.7743844985961914,0.9305227398872375,0.32866206765174866,15.345845222473145,16
