D_J,M_J,E_J,mechanism_class,max_abs_delta_q,mean_abs_delta_q,time_to_divergence_mean,max_abs_direct,mean_abs_direct,max_abs_modulation,mean_abs_modulation,experiment,batch_idx
1,1,1,"(1,1)",2.050443410873413,0.4193394184112549,25.4375,0.10234427452087402,0.03297245502471924,0.08886191248893738,0.01702304556965828,binary_additive,0
1,1,1,"(1,1)",2.0984115600585938,0.37503787875175476,27.09375,0.10120904445648193,0.02944357879459858,0.09394009411334991,0.015256098471581936,binary_additive,1
1,1,1,"(1,1)",2.2540624141693115,0.42121121287345886,26.1875,0.10777318477630615,0.032868463546037674,0.1028355211019516,0.016997642815113068,binary_additive,2
1,1,1,"(1,1)",2.099581003189087,0.40936562418937683,25.8125,0.1027066707611084,0.03212477266788483,0.08506400883197784,0.01660044677555561,binary_additive,3
1,1,1,"(1,1)",2.173293352127075,0.4619193971157074,25.21875,0.10663294792175293,0.036171555519104004,0.09540438652038574,0.018352225422859192,binary_additive,4
1,1,1,"(1,1)",2.132568597793579,0.4562787711620331,25.0,0.10511898994445801,0.03574705123901367,0.09215676784515381,0.018434876576066017,binary_additive,5
1,1,1,"(1,1)",2.0459744930267334,0.40906262397766113,25.59375,0.10146546363830566,0.03204847127199173,0.09107321500778198,0.01660543866455555,binary_additive,6
1,1,1,"(1,1)",2.0798590183258057,0.41095811128616333,25.84375,0.10074710845947266,0.032228998839855194,0.09300875663757324,0.016699355095624924,binary_additive,7
1,1,1,"(1,1)",1.9846595525741577,0.38230931758880615,29.483870967741936,0.09457457065582275,0.028692668303847313,0.4571601152420044,0.04402269423007965,context_gated,0
1,1,1,"(1,1)",2.026493787765503,0.38507020473480225,29.0,0.09741902351379395,0.023786351084709167,0.45690709352493286,0.03972034901380539,context_gated,1
1,1,1,"(1,1)",1.7900546789169312,0.4404522478580475,23.9375,0.08485680818557739,0.028187643736600876,0.4667472839355469,0.04506007954478264,context_gated,2
1,1,1,"(1,1)",2.0050768852233887,0.41985100507736206,27.419354838709676,0.097450852394104,0.028110837563872337,0.4642307162284851,0.037629928439855576,context_gated,3
1,1,1,"(1,1)",2.1607372760772705,0.4413283169269562,26.633333333333333,0.10161519050598145,0.02731970325112343,0.3926805257797241,0.04054750129580498,context_gated,4
1,1,1,"(1,1)",1.976973533630371,0.39748454093933105,27.096774193548388,0.0935211181640625,0.027151405811309814,0.42401403188705444,0.04044513776898384,context_gated,5
1,1,1,"(1,1)",1.8178260326385498,0.3874293565750122,25.59375,0.08253544569015503,0.024558886885643005,0.41889530420303345,0.03532005101442337,context_gated,6
1,1,1,"(1,1)",1.9214967489242554,0.3452323377132416,28.129032258064516,0.08954894542694092,0.023353731259703636,0.46559828519821167,0.04804515838623047,context_gated,7
1,1,1,"(1,1)",1.978662371635437,0.3627924621105194,36.70967741935484,0.07861614227294922,0.0193172637373209,0.06318493187427521,0.01600458286702633,delayed_gated,0
1,1,1,"(1,1)",1.900566577911377,0.42016226053237915,34.5625,0.07554316520690918,0.022328810766339302,0.0638430118560791,0.018985608592629433,delayed_gated,1
1,1,1,"(1,1)",1.8777071237564087,0.38648006319999695,35.625,0.07455265522003174,0.020627638325095177,0.06292732059955597,0.017369436100125313,delayed_gated,2
