difficulty,n,coupled_mean_abs_q,decoupled_mean_abs_q,decoupling_cost,relative_cost
0.2,67,0.9924,0.239,0.7534,0.7592
0.4,69,1.0038,0.4491,0.5547,0.5526
0.6,51,1.0019,0.6378,0.364,0.3634
0.8,69,1.0013,0.7807,0.2206,0.2203
