trial_id,final_abs_q,fixation_d_auc,fixation_d_peak,fixation_d_mean,stimulus_d_auc,stimulus_d_peak,stimulus_d_mean,response_d_auc,response_d_peak,response_d_mean,d_onset,d_peak_time,d_auc_total,fixation_m_auc,fixation_m_peak,fixation_m_mean,stimulus_m_auc,stimulus_m_peak,stimulus_m_mean,response_m_auc,response_m_peak,response_m_mean,m_onset,m_peak_time,m_auc_total,q_onset,q_peak_time,coherence,label,seq_len,difficulty
0,1.0013306140899658,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,0.986309289932251,0.07712364196777344,0.040549930185079575,0.25534486770629883,0.046469926834106445,0.018924633041024208,16,30,1.292868733406067,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,0.45565372705459595,0.09983788430690765,0.020228225737810135,10.211202621459961,1.2155505418777466,0.7267051339149475,36,49,10.799147605895996,21,37,0.20000000298023224,1.0,50.0,0.20000000298023224
1,0.9996023774147034,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,1.2913094758987427,0.10470962524414062,0.05207826942205429,0.286765992641449,0.023397445678710938,0.02054130658507347,14,24,1.5989181995391846,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,2.9412450790405273,0.7363911271095276,0.13238292932510376,18.315778732299805,1.611226201057434,1.3026182651519775,30,49,22.043874740600586,17,30,-0.800000011920929,-1.0,50.0,0.800000011920929
2,0.9987491965293884,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,1.3537882566452026,0.11146366596221924,0.054579127579927444,0.24357342720031738,0.01909613609313965,0.017466405406594276,14,23,1.6181403398513794,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,2.9622883796691895,0.7372294664382935,0.1332414299249649,18.04543685913086,1.5714274644851685,1.283280849456787,30,49,21.7951717376709,18,30,0.800000011920929,1.0,50.0,0.800000011920929
3,0.9993902444839478,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,1.2033956050872803,0.0918700098991394,0.048730216920375824,0.20372295379638672,0.024092674255371094,0.014834050089120865,15,26,1.4345653057098389,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,1.2807445526123047,0.40298566222190857,0.059294816106557846,14.631991386413574,1.4197262525558472,1.039495825767517,32,49,16.365581512451172,19,33,0.4000000059604645,1.0,50.0,0.4000000059604645
4,1.0012880563735962,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,1.1857538223266602,0.09309852123260498,0.04800611361861229,0.26380428671836853,0.023945927619934082,0.01908072642982006,15,26,1.476470708847046,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,1.537986397743225,0.47500354051589966,0.07102485001087189,15.868599891662598,1.5135806798934937,1.1275908946990967,32,49,17.933334350585938,19,32,-0.4000000059604645,-1.0,50.0,0.4000000059604645
5,0.9979141354560852,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,1.3686822652816772,0.11388790607452393,0.05515718460083008,0.24663031101226807,0.018605828285217285,0.017663216218352318,13,23,1.6354033946990967,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,3.3537936210632324,0.7909467220306396,0.1499760001897812,18.47000503540039,1.5870569944381714,1.3138012886047363,29,49,22.663530349731445,17,29,0.800000011920929,1.0,50.0,0.800000011920929
6,1.0024666786193848,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,1.276137113571167,0.10341960191726685,0.05157347768545151,0.2306695580482483,0.022196650505065918,0.016659211367368698,15,25,1.5316452980041504,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,1.814842939376831,0.5364378690719604,0.08332779258489609,16.28117561340332,1.5022761821746826,1.1568456888198853,31,49,18.685382843017578,19,31,0.6000000238418579,1.0,50.0,0.6000000238418579
7,1.0001826286315918,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,1.3021373748779297,0.1043616533279419,0.05255024507641792,0.22809118032455444,0.01998317241668701,0.0164163988083601,14,24,1.5523793697357178,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,2.2583823204040527,0.6182515621185303,0.10270564258098602,16.94104766845703,1.5234678983688354,1.2041919231414795,31,49,19.869426727294922,18,31,0.6000000238418579,1.0,50.0,0.6000000238418579
8,1.0037912130355835,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,1.1325894594192505,0.09298789501190186,0.04604993015527725,0.2669273912906647,0.03018331527709961,0.019463006407022476,16,27,1.4338078498840332,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,1.0010437965393066,0.3397068679332733,0.04684120789170265,14.443277359008789,1.457328200340271,1.026030421257019,33,49,15.83346176147461,20,34,-0.4000000059604645,-1.0,50.0,0.4000000059604645
9,0.9979390501976013,0.00044548040023073554,0.00019021413754671812,5.40587461728137e-05,1.3673919439315796,0.11254143714904785,0.05510682612657547,0.24530166387557983,0.018618226051330566,0.01756984367966652,13,23,1.6328219175338745,0.0005378067726269364,0.0002034751232713461,6.39544305158779e-05,3.306018829345703,0.7846428751945496,0.14793893694877625,18.401126861572266,1.5830515623092651,1.3088713884353638,29,49,22.54065704345703,17,29,0.800000011920929,1.0,50.0,0.800000011920929
