difficulty,n,coupled_mean_abs_q,decoupled_mean_abs_q,decoupling_cost,relative_cost
0.2,73,0.9887,0.1594,0.8293,0.8388
0.4,58,0.9985,0.3071,0.6914,0.6924
0.6,62,0.999,0.4452,0.5538,0.5543
0.8,63,1.0021,0.5753,0.4268,0.4259
