step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,0.9282737374305725,0.65625,0.9282677173614502,5.796123787149554e-06,2.2192959647782118e-07,0.0
2,1.0106786489486694,0.578125,1.01067316532135,5.264932497084374e-06,2.2192077153704304e-07,0.0
3,0.9772912263870239,0.46875,0.9772862195968628,4.762615390063729e-06,2.21849319359535e-07,0.0
4,0.8344104886054993,0.703125,0.8344056010246277,4.656812507164432e-06,2.2179834502367157e-07,0.0
5,0.7511715292930603,0.71875,0.7511669397354126,4.349898972577648e-06,2.2178411995810166e-07,0.0
6,0.7234262228012085,0.6875,0.7234213948249817,4.5971100917086005e-06,2.2179558811785682e-07,0.0
7,0.690754771232605,0.640625,0.690750241279602,4.295879989513196e-06,2.2180701364504785e-07,0.0
8,0.5517827868461609,0.828125,0.5517781972885132,4.337982772995019e-06,2.218237966644665e-07,0.0
9,0.5775895118713379,0.796875,0.5775853395462036,3.910061423084699e-06,2.2185346892911184e-07,0.0
10,0.5828583836555481,0.84375,0.5828543305397034,3.8234466046560556e-06,2.2188800130606978e-07,0.0
11,0.58433997631073,0.78125,0.5843356847763062,4.044034994876711e-06,2.21924665311235e-07,0.0
12,0.4469020664691925,0.875,0.4468979239463806,3.926849785784725e-06,2.219499037892092e-07,0.0
13,0.6123812198638916,0.765625,0.6123768091201782,4.194736902718432e-06,2.219664452240977e-07,0.0
14,0.4346659183502197,0.875,0.43466126918792725,4.451904260349693e-06,2.2196941529273317e-07,0.0
15,0.5019910931587219,0.875,0.5019866228103638,4.2598103391355835e-06,2.2196059035195503e-07,0.0
16,0.5495374202728271,0.828125,0.5495330095291138,4.183114015177125e-06,2.2195091275989398e-07,0.0
17,0.48103636503219604,0.859375,0.4810318946838379,4.271832040103618e-06,2.2192241999619e-07,0.0
18,0.4650702476501465,0.828125,0.4650656580924988,4.379090569273103e-06,2.2189122717009013e-07,0.0
19,0.42171910405158997,0.890625,0.4217144846916199,4.399457338877255e-06,2.21858300619715e-07,0.0
20,0.5302413702011108,0.8125,0.5302367210388184,4.393502877064748e-06,2.2183077419413166e-07,0.0
21,0.5416574478149414,0.828125,0.5416533350944519,3.879215455526719e-06,2.218294952172073e-07,0.0
22,0.5793095231056213,0.8125,0.5793050527572632,4.261330559529597e-06,2.2184796932833706e-07,0.0
23,0.3593372106552124,0.96875,0.3593320846557617,4.9281179599347524e-06,2.218808106135839e-07,0.0
24,0.624865710735321,0.765625,0.6248608827590942,4.597065526468214e-06,2.219306480810701e-07,0.0
25,0.48548248410224915,0.828125,0.4854772388935089,5.048860202805372e-06,2.2197733073880954e-07,0.0
26,0.4478314518928528,0.859375,0.4478265643119812,4.687756245402852e-06,2.2201864169346663e-07,0.0
27,0.4810897707939148,0.875,0.48108506202697754,4.514008651312906e-06,2.2206658911727573e-07,0.0
28,0.3846183121204376,0.9375,0.3846135437488556,4.54486689704936e-06,2.221112538336456e-07,0.0
29,0.4302925169467926,0.90625,0.43028825521469116,4.049950803164393e-06,2.2214534567410738e-07,0.0
30,0.35812199115753174,0.9375,0.3581162095069885,5.5828868426033296e-06,2.2218503659132693e-07,0.0
31,0.4055885970592499,0.9375,0.4055836796760559,4.70269333163742e-06,2.2220386597382458e-07,0.0
32,0.4003210961818695,0.90625,0.4003153145313263,5.583049187407596e-06,2.2222447171316162e-07,0.0
33,0.5021897554397583,0.8125,0.5021833181381226,6.173240763018839e-06,2.222352861735999e-07,0.0
