experiment,task,model,seed,batch_idx,trial_idx,E_max,E_mean,E_auc,D_max,D_mean,D_auc,M_max,M_mean,M_auc,divergence_time
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,0,1.0480536222457886,0.5679548382759094,36.40300750732422,0.04206150770187378,0.012077742256224155,0.7818496823310852,0.5401643514633179,0.16714954376220703,10.594670295715332,22
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,1,1.0131232738494873,0.39212435483932495,25.000736236572266,0.02470099925994873,0.008501929230988026,0.5465428829193115,0.4409525692462921,0.0713953971862793,4.420225143432617,30
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,2,1.0480834245681763,0.570482611656189,36.56715774536133,0.041969239711761475,0.012113206088542938,0.784147322177887,0.5406152009963989,0.16834862530231476,10.672420501708984,22
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,3,1.0499770641326904,0.591242253780365,37.91539764404297,0.04507499933242798,0.01261991262435913,0.8168801069259644,0.5434545278549194,0.17904901504516602,11.366795539855957,21
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,4,1.0470082759857178,0.5689302682876587,36.466400146484375,0.04059648513793945,0.011954309418797493,0.7738878726959229,0.5409238934516907,0.1673080176115036,10.604591369628906,22
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,5,1.013461709022522,0.5835858583450317,37.43964385986328,0.041414856910705566,0.012434129603207111,0.803851306438446,0.5463092923164368,0.18292279541492462,11.616825103759766,20
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,6,1.0469306707382202,0.5744068026542664,36.82210159301758,0.041954636573791504,0.012110921554267406,0.7840659618377686,0.5427814722061157,0.1710544228553772,10.847290992736816,21
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,7,1.0090092420578003,0.47279059886932373,30.246826171875,0.02581244707107544,0.009597226977348328,0.6187970638275146,0.5127143859863281,0.11406779289245605,7.158047676086426,25
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,8,1.0512412786483765,0.5946756601333618,38.13840866088867,0.04487806558609009,0.012706782668828964,0.8224097490310669,0.5425499677658081,0.1795770525932312,11.40156364440918,21
delayed__additive__seed3,DelayedCategorizationTask,TwoRegionAdditiveRNN,3,0,9,1.0114922523498535,0.4512563943862915,28.847204208374023,0.0240517258644104,0.00913129560649395,0.5880021452903748,0.4962526559829712,0.10036830604076385,6.275815010070801,26
