step,loss,accuracy,task_loss,activity_reg,weight_reg,communication_reg
1,1.0405447483062744,0.53125,1.0405421257019043,2.488498239472392e-06,1.7238254201856762e-07,0.0
2,0.9697048664093018,0.546875,0.9697022438049316,2.4640883111715084e-06,1.7238015459497547e-07,0.0
3,0.8574578762054443,0.734375,0.8574550151824951,2.7011949441657634e-06,1.7238721738976892e-07,0.0
4,0.8441302180290222,0.671875,0.8441272974014282,2.7679382128553698e-06,1.7242024341612705e-07,0.0
5,0.6427183151245117,0.796875,0.6427153944969177,2.770566879917169e-06,1.7245359629214363e-07,0.0
6,0.5650109052658081,0.828125,0.5650075674057007,3.1835261324886233e-06,1.725088196735669e-07,0.0
7,0.6421096324920654,0.734375,0.6421066522598267,2.7838259484269656e-06,1.7258648199458548e-07,0.0
8,0.6524224281311035,0.78125,0.6524189710617065,3.2823836590978317e-06,1.726744613961273e-07,0.0
9,0.5877030491828918,0.75,0.5876991748809814,3.7217228054942098e-06,1.7274622621243907e-07,0.0
10,0.5040742754936218,0.84375,0.5040706396102905,3.457244702076423e-06,1.7277760377965024e-07,0.0
11,0.8799730539321899,0.703125,0.8799694180488586,3.4595666420500493e-06,1.72769532014172e-07,0.0
12,0.668769121170044,0.75,0.668765127658844,3.827176897175377e-06,1.727378418081571e-07,0.0
13,0.5613976120948792,0.84375,0.5613936185836792,3.8370289985323325e-06,1.726800604728851e-07,0.0
14,0.4462820589542389,0.828125,0.44627833366394043,3.544590526871616e-06,1.7260700246879424e-07,0.0
15,0.6531025767326355,0.75,0.6530987024307251,3.667009423224954e-06,1.7250192740903003e-07,0.0
16,0.6381301283836365,0.75,0.6381263732910156,3.5967295843875036e-06,1.7239798921764304e-07,0.0
17,0.6325734853744507,0.734375,0.6325693726539612,3.9226106309797615e-06,1.7228354920462152e-07,0.0
18,0.6143126487731934,0.765625,0.6143089532852173,3.54471308128268e-06,1.7217263348356937e-07,0.0
19,0.4933125078678131,0.796875,0.4933086931705475,3.6244334751245333e-06,1.7208520830536145e-07,0.0
20,0.6181015372276306,0.765625,0.6180970668792725,4.288017407816369e-06,1.7203282709488121e-07,0.0
21,0.5675417184829712,0.765625,0.5675374865531921,4.0422496567771304e-06,1.7200873969613895e-07,0.0
22,0.5080597996711731,0.796875,0.5080557465553284,3.87200861950987e-06,1.7201712410042092e-07,0.0
23,0.48368704319000244,0.84375,0.4836827516555786,4.106180313101504e-06,1.720474926969473e-07,0.0
24,0.4933202564716339,0.796875,0.49331554770469666,4.521769369603135e-06,1.7212015279710613e-07,0.0
25,0.5061833262443542,0.859375,0.5061783790588379,4.79520076623885e-06,1.722168718742978e-07,0.0
26,0.4818865954875946,0.828125,0.48188111186027527,5.319352112564957e-06,1.723350351312547e-07,0.0
27,0.42212575674057007,0.859375,0.4221195876598358,5.976585271127988e-06,1.7246726713437965e-07,0.0
28,0.4163256585597992,0.96875,0.41631871461868286,6.761028544133296e-06,1.7262647133975406e-07,0.0
29,0.43126267194747925,0.90625,0.4312557578086853,6.728903827024624e-06,1.7282006581353926e-07,0.0
30,0.5158348083496094,0.828125,0.5158281326293945,6.488883173005888e-06,1.7301745458553341e-07,0.0
31,0.39366570115089417,0.890625,0.3936576843261719,7.85117572377203e-06,1.7319997880349547e-07,0.0
32,0.3727452754974365,0.875,0.3727375268936157,7.566505701106507e-06,1.7337484337076603e-07,0.0
33,0.3915512263774872,0.875,0.39154288172721863,8.171925401256885e-06,1.7355155534914957e-07,0.0
34,0.3790929317474365,0.875,0.37908583879470825,6.905313512106659e-06,1.7372786942360108e-07,0.0
35,0.3902733623981476,0.9375,0.3902648091316223,8.36027720652055e-06,1.7391478479567013e-07,0.0
36,0.4075753092765808,0.9375,0.4075656533241272,9.469307769904844e-06,1.740886403922559e-07,0.0
